試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-02-08,1,,迫田郭志,3,■,■,■,,,19,10,2,0.5263157894736842,0.42105263157894735,3.33,2,1,0,50.0,1,0.33,8,0,3,0,-9.4,18,6,4,44.4
2020-02-08,3,L,橘裕也,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,7,3,2,57.1
2020-02-08,4,,山田要平,3,□,□,■,,,1,0,0,0.0,0.0,-,1,0,0,0.0,0,-,1,0,0,0,0.0,0,0,0,-
2020-02-08,5,,井上仁,3,■,■,■,,,7,4,1,0.5714285714285714,0.42857142857142855,1.33,0,0,0,-,0,-,9,1,1,3,16.7,1,1,0,100.0
2020-02-08,8,,栗山英之,2,■,■,,,,5,2,0,0.4,0.4,1.00,0,0,0,-,0,-,7,0,1,0,-3.6,0,0,0,-
2020-02-08,9,,手塚大,3,□,□,■,,,12,7,1,0.5833333333333334,0.5,2.33,1,1,0,100.0,0,-,3,0,2,0,-16.7,0,0,0,-
2020-02-08,12,,小田嶋大貴,1,,,■,,,2,2,0,1.0,1.0,2.00,0,0,0,-,0,-,3,0,0,2,16.7,0,0,0,-
2020-02-08,16,,手原紳,3,■,■,□,,,0,0,0,,,-,0,0,0,-,0,-,7,1,1,3,21.4,1,0,0,0.0
2020-02-08,19,,佐藤望実,3,■,■,■,,,12,5,0,0.4166666666666667,0.4166666666666667,1.67,1,0,0,0.0,0,-,10,0,3,3,0.0,20,6,4,40.0
2020-02-08,20,,プレモビッチピーター,3,■,■,□,,,19,7,1,0.3684210526315789,0.3157894736842105,2.33,11,3,1,27.3,0,-,8,0,1,3,6.2,0,0,0,-
2020-02-08,21,,平田亮介,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-08,22,,宮原和輝,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0
2020-02-08,23,L,小森郁己,2,〇,〇,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,4,2,35.7
2020-02-08,26,,黒田彪斗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-08,チーム合計,チーム合計,チーム合計,3,,,,,,77,37,5,0.4805194805194805,0.4155844155844156,12.33,16,5,1,31.2,1,0.33,56,2,12,14,4.5,62,20,12,41.9
