試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-16,19,,佐藤望実,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,19,,佐藤望実,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-24,19,,佐藤望実,1,,,,,□,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-11-30,19,,佐藤望実,1,,□,,,,2,1,0,0.5,0.5,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-12-01,19,,佐藤望実,4,■,■,■,■,,37,22,2,0.5945945945945946,0.5405405405405406,5.50,4,2,1,50.0,1,0.25,15,1,0,5,15.0,38,17,11,59.2
2019-12-07,19,,佐藤望実,4,■,■,■,■,,32,13,2,0.40625,0.34375,3.25,4,2,0,50.0,1,0.25,19,0,5,4,-1.3,37,13,8,45.9
2019-12-08,19,,佐藤望実,3,■,,,□,□,6,1,0,0.16666666666666666,0.16666666666666666,0.33,0,0,0,-,0,-,5,0,0,1,5.0,16,6,1,40.6
2019-12-14,19,,佐藤望実,3,■,■,■,,,14,4,1,0.2857142857142857,0.21428571428571427,1.33,2,1,0,50.0,1,0.33,10,0,1,0,-2.5,22,9,6,54.5
2019-12-15,19,,佐藤望実,3,■,■,■,,,15,7,0,0.4666666666666667,0.4666666666666667,2.33,1,1,0,100.0,0,-,9,0,3,2,-2.8,10,3,3,45.0
2019-12-21,19,,佐藤望実,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-22,19,,佐藤望実,2,■,,□,,,9,2,0,0.2222222222222222,0.2222222222222222,1.00,1,0,0,0.0,0,-,4,0,1,1,0.0,14,6,3,53.6
2020-01-11,19,,佐藤望実,3,,□,■,■,,11,7,0,0.6363636363636364,0.6363636363636364,2.33,1,1,0,100.0,1,0.33,8,0,2,2,0.0,7,1,2,28.6
2020-01-18,19,,佐藤望実,5,■,■,■,■,■,32,15,3,0.46875,0.375,3.00,2,0,1,0.0,3,0.60,16,1,4,4,6.2,30,7,12,43.3
2020-01-19,19,,佐藤望実,4,■,■,■,■,,36,17,2,0.4722222222222222,0.4166666666666667,4.25,1,0,0,0.0,2,0.50,13,0,3,1,-3.8,16,6,9,65.6
2020-01-25,19,,佐藤望実,3,■,■,■,,,16,4,0,0.25,0.25,1.33,0,0,0,-,0,-,6,0,0,3,12.5,20,2,7,27.5
2020-01-26,19,,佐藤望実,3,■,■,■,,,28,13,2,0.4642857142857143,0.3928571428571429,4.33,4,4,0,100.0,0,-,11,1,1,3,13.6,13,7,4,69.2
2020-01-31,19,,佐藤望実,3,■,■,■,,,18,7,2,0.3888888888888889,0.2777777777777778,2.33,1,0,1,0.0,0,-,11,1,3,2,6.8,18,3,9,41.7
2020-02-08,19,,佐藤望実,3,■,■,■,,,12,5,0,0.4166666666666667,0.4166666666666667,1.67,1,0,0,0.0,0,-,10,0,3,3,0.0,20,6,4,40.0
2020-02-09,19,,佐藤望実,2,■,■,,,,13,5,1,0.38461538461538464,0.3076923076923077,2.50,1,0,1,0.0,1,0.50,6,0,1,1,0.0,12,2,4,33.3
2020-02-15,19,,佐藤望実,4,■,■,■,■,,34,14,4,0.4117647058823529,0.29411764705882354,3.50,0,0,0,-,0,-,14,1,4,5,8.9,19,8,5,55.3
2020-02-16,19,,佐藤望実,2,■,■,,,,13,5,1,0.38461538461538464,0.3076923076923077,2.50,2,0,1,0.0,0,-,4,0,1,1,0.0,15,4,3,36.7
