試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-26,1,,迫田郭志,3,■,■,■,,,19,9,2,0.4736842105263158,0.3684210526315789,3.00,0,0,0,-,0,-,11,0,2,1,-2.3,14,3,5,39.3
2019-10-27,1,,迫田郭志,3,■,■,■,,,17,4,2,0.2352941176470588,0.1176470588235294,1.33,2,0,1,0.0,0,-,8,1,2,2,12.5,26,9,9,51.9
2019-11-02,1,,迫田郭志,3,■,■,■,,,10,6,0,0.6,0.6,2.00,2,1,0,50.0,0,-,11,1,2,5,15.9,29,18,4,69.0
2019-11-03,1,,迫田郭志,4,■,■,■,■,,16,6,0,0.375,0.375,1.50,1,0,0,0.0,0,-,12,0,2,3,2.1,31,13,5,50.0
2019-11-09,1,,迫田郭志,4,■,■,■,■,,27,15,2,0.5555555555555556,0.4814814814814815,3.75,0,0,0,-,1,0.25,17,0,2,6,5.9,42,14,13,48.8
2019-11-10,1,,迫田郭志,4,■,■,■,■,,33,13,1,0.3939393939393939,0.3636363636363637,3.25,1,0,0,0.0,2,0.50,18,1,2,6,11.1,32,12,10,53.1
2019-11-16,1,,迫田郭志,3,■,■,■,,,19,7,1,0.3684210526315789,0.3157894736842105,2.33,3,1,1,33.3,0,-,11,1,3,4,11.4,20,10,7,67.5
2019-11-23,1,,迫田郭志,5,■,■,■,■,■,33,19,2,0.5757575757575758,0.5151515151515151,3.80,1,1,0,100.0,0,-,15,1,3,5,10.0,34,13,15,60.3
2019-11-24,1,,迫田郭志,5,■,■,■,■,■,28,20,1,0.7142857142857143,0.6785714285714286,4.00,2,1,1,50.0,2,0.40,15,0,3,1,-3.3,49,21,13,56.1
2019-11-30,1,,迫田郭志,3,■,■,■,,,19,9,2,0.4736842105263158,0.3684210526315789,3.00,0,0,0,-,0,-,8,0,1,2,3.1,14,8,2,64.3
2019-12-01,1,,迫田郭志,4,■,■,■,■,,22,11,0,0.5,0.5,2.75,2,1,0,50.0,1,0.25,14,0,4,2,-3.6,28,19,3,73.2
2019-12-07,1,,迫田郭志,4,■,■,■,■,,36,16,3,0.4444444444444444,0.3611111111111111,4.00,2,0,0,0.0,0,-,22,0,3,9,6.8,34,17,8,61.8
2019-12-08,1,,迫田郭志,5,■,■,■,■,■,19,8,2,0.42105263157894735,0.3157894736842105,1.60,2,0,1,0.0,1,0.20,22,0,5,7,2.3,29,11,8,51.7
2019-12-14,1,,迫田郭志,4,■,■,■,■,,27,7,0,0.25925925925925924,0.25925925925925924,1.75,4,3,0,75.0,0,-,19,0,3,6,3.9,23,17,2,78.3
2019-12-15,1,,迫田郭志,3,■,□,■,,,8,2,1,0.25,0.125,0.67,3,2,0,66.7,2,0.67,7,1,1,1,14.3,11,6,3,68.2
2019-12-21,1,,迫田郭志,3,■,■,■,,,14,7,2,0.5,0.35714285714285715,2.33,1,0,0,0.0,0,-,9,0,1,5,11.1,26,13,6,61.5
2019-12-22,1,,迫田郭志,3,■,■,■,,,27,12,1,0.4444444444444444,0.4074074074074074,4.00,5,0,1,0.0,1,0.33,8,0,3,1,-6.2,21,8,8,57.1
2020-01-11,1,,迫田郭志,4,■,■,■,■,,20,7,3,0.35,0.2,1.75,4,1,0,25.0,0,-,12,0,2,5,6.2,35,8,15,44.3
2020-01-18,1,,迫田郭志,5,■,■,■,■,■,32,17,5,0.53125,0.375,3.40,6,2,1,33.3,0,-,17,0,2,2,0.0,27,8,9,46.3
2020-01-19,1,,迫田郭志,4,■,■,■,■,,16,9,0,0.5625,0.5625,2.25,1,0,0,0.0,1,0.25,13,0,2,1,-1.9,29,12,12,62.1
2020-01-25,1,,迫田郭志,3,■,■,■,,,21,5,3,0.2380952380952381,0.09523809523809523,1.67,1,1,0,100.0,0,-,5,0,1,1,0.0,11,3,4,45.5
2020-01-26,1,,迫田郭志,3,■,■,■,,,8,6,0,0.75,0.75,2.00,1,1,0,100.0,0,-,11,0,4,1,-6.8,26,10,8,53.8
2020-01-31,1,,迫田郭志,3,■,■,■,,,17,7,1,0.4117647058823529,0.35294117647058826,2.33,2,0,0,0.0,0,-,9,0,3,1,-5.6,27,11,6,51.9
2020-02-08,1,,迫田郭志,3,■,■,■,,,19,10,2,0.5263157894736842,0.42105263157894735,3.33,2,1,0,50.0,1,0.33,8,0,3,0,-9.4,18,6,4,44.4
2020-02-09,1,,迫田郭志,3,■,■,■,,,14,6,1,0.42857142857142855,0.35714285714285715,2.00,0,0,0,-,1,0.33,7,0,1,2,3.6,30,8,9,41.7
2020-02-15,1,,迫田郭志,5,■,■,■,■,■,29,18,1,0.6206896551724138,0.5862068965517241,3.60,1,1,0,100.0,0,-,18,0,2,6,5.6,20,12,5,72.5
2020-02-16,1,,迫田郭志,5,■,■,■,■,■,25,13,2,0.52,0.44,2.60,1,0,0,0.0,0,-,15,2,1,4,18.3,27,7,13,50.0
