試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-11-08,FC東京,東レアローズ,1,,迫田郭志,5,■,■,■,■,■,31,11,2,35.5,29.0,2.20,1,1,0,100.0,1,0.20,12,0,4,1,-6.2,37,19,9,63.5,12
2020-11-08,FC東京,東レアローズ,2,,玉宅健太郎,4,□,□,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,FC東京,東レアローズ,3,,橘裕也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,FC東京,東レアローズ,4,,山田要平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,FC東京,東レアローズ,5,,井上仁,2,nan,nan,□,nan,□,1,0,1,0.0,-100.0,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,0
2020-11-08,FC東京,東レアローズ,8,,栗山英之,5,■,■,■,■,■,18,9,0,50.0,50.0,1.80,0,0,0,-,0,-,19,0,1,3,2.6,1,1,0,100.0,9
2020-11-08,FC東京,東レアローズ,9,,手塚大,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,FC東京,東レアローズ,10,L,古賀太一郎,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,30,10,10,50.0,0
2020-11-08,FC東京,東レアローズ,14,,長友優磨,5,□,□,□,■,□,12,9,1,75.0,66.7,1.80,6,6,0,100.0,1,0.20,7,0,1,1,0.0,0,0,0,-,10
2020-11-08,FC東京,東レアローズ,15,,谷口渉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,FC東京,東レアローズ,16,,手原紳,5,■,■,■,■,■,1,1,0,100.0,100.0,0.20,0,0,0,-,0,-,23,0,1,2,1.1,0,0,0,-,1
2020-11-08,FC東京,東レアローズ,19,,佐藤望実,5,■,■,■,■,■,25,15,0,60.0,60.0,3.00,3,3,0,100.0,3,0.60,15,0,4,3,-1.7,23,7,3,37.0,18
2020-11-08,FC東京,東レアローズ,20,,プレモビッチピーター,5,■,■,■,□,■,35,16,2,45.7,40.0,3.20,15,9,2,60.0,0,-,16,0,5,2,-4.7,0,0,0,-,16
2020-11-08,FC東京,東レアローズ,21,,平田亮介,5,■,■,■,■,■,8,5,0,62.5,62.5,1.00,0,0,0,-,1,0.20,16,0,3,4,1.6,0,0,0,-,6
2020-11-08,FC東京,東レアローズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,131,66,6,50.4,45.8,13.20,25,19,2,76.0,6,1.20,109,0,20,16,-0.9,91,37,22,52.7,72
