試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-29,FC東京,1,,迫田郭志,5,■,■,■,■,■,13,7,0,53.8,53.8,1.40,1,0,0,0.0,1,0.20,11,0,2,1,-2.3,41,20,15,67.1,,,,,,,,
2020-11-29,FC東京,3,,橘裕也,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,4,1,75.0,,,,,,,,
2020-11-29,FC東京,4,,山田要平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-29,FC東京,5,,井上仁,4,nan,□,■,■,■,11,6,1,54.5,45.5,1.50,0,0,0,-,1,0.25,12,2,0,2,20.8,3,2,1,83.3,,,,,,,,
2020-11-29,FC東京,8,,栗山英之,2,■,■,nan,nan,nan,8,4,0,50.0,50.0,2.00,0,0,0,-,1,0.50,6,0,1,1,0.0,0,0,0,-,,,,,,,,
2020-11-29,FC東京,9,,手塚大,2,nan,nan,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-29,FC東京,10,L,古賀太一郎,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,11,2,75.0,,,,,,,,
2020-11-29,FC東京,14,,長友優磨,3,□,nan,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,,,,,,,,
2020-11-29,FC東京,15,,谷口渉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-29,FC東京,16,,手原紳,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,1,0.20,20,0,2,2,0.0,0,0,0,-,,,,,,,,
2020-11-29,FC東京,18,,武藤鉄也,3,■,■,■,nan,nan,4,0,0,0.0,0.0,-,0,0,0,-,0,-,6,0,1,0,-4.2,0,0,0,-,,,,,,,,
2020-11-29,FC東京,19,,佐藤望実,5,■,■,■,■,■,17,7,1,41.2,35.3,1.40,0,0,0,-,0,-,20,3,4,3,13.8,18,13,4,83.3,,,,,,,,
2020-11-29,FC東京,20,,プレモビッチピーター,5,■,■,■,■,■,63,29,4,46.0,39.7,5.80,28,12,3,42.9,2,0.40,21,1,1,3,7.1,0,0,0,-,,,,,,,,
2020-11-29,FC東京,21,,平田亮介,4,□,nan,□,■,■,10,7,0,70.0,70.0,1.75,0,0,0,-,0,-,12,0,1,4,6.2,0,0,0,-,,,,,,,,
2020-11-29,FC東京,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,126,60,6,47.6,42.9,12.00,29,12,3,41.4,6,1.20,111,6,12,17,6.5,84,50,23,73.2,139,72,15,51.8,14,2.80,1.4,66.3
