試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-02-29,JTサンダーズ,パナソニックパンサーズ,2,,平野信孝,4,■,■,■,■,nan,25,6,3,24.0,12.0,1.50,4,0,1,0.0,1,0.25,14,0,4,4,7.1,38,27,0,71.1,7
2004-02-29,JTサンダーズ,パナソニックパンサーズ,4,,河野裕輔,4,■,■,■,■,nan,19,8,1,42.1,36.8,2.00,1,1,0,100.0,1,0.25,14,0,2,2,3.6,16,8,0,50.0,9
2004-02-29,JTサンダーズ,パナソニックパンサーズ,5,,丹山禎昭,4,□,■,□,□,nan,0,0,0,,,-,0,0,0,-,1,0.25,6,0,1,3,12.5,0,0,0,-,1
2004-02-29,JTサンダーズ,パナソニックパンサーズ,7,,下田悟,1,nan,□,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,4,2,0,50.0,0
2004-02-29,JTサンダーズ,パナソニックパンサーズ,9,,飯塚俊彦,3,□,nan,□,□,nan,9,6,0,66.7,66.7,2.00,5,4,0,80.0,0,-,5,0,2,1,5.0,0,0,0,-,6
2004-02-29,JTサンダーズ,パナソニックパンサーズ,11,,前田悟,4,■,□,■,■,nan,6,5,0,83.3,83.3,1.25,0,0,0,-,0,-,5,0,2,1,5.0,0,0,0,-,5
2004-02-29,JTサンダーズ,パナソニックパンサーズ,14,,伊勢隆一,3,nan,□,■,■,nan,6,1,0,16.7,16.7,0.33,1,0,0,0.0,2,0.67,8,1,1,0,12.5,0,0,0,-,4
2004-02-29,JTサンダーズ,パナソニックパンサーズ,15,L,酒井大祐,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,12,0,57.1,0
2004-02-29,JTサンダーズ,パナソニックパンサーズ,16,,日高誠,3,■,■,■,nan,nan,3,3,0,100.0,100.0,1.00,0,0,0,-,1,0.33,6,0,2,2,8.3,0,0,0,-,4
2004-02-29,JTサンダーズ,パナソニックパンサーズ,17,,内冨寛法,4,■,■,■,■,nan,36,16,9,44.4,19.4,4.00,14,6,4,42.9,0,-,11,1,3,2,13.6,0,0,0,-,17
2004-02-29,JTサンダーズ,パナソニックパンサーズ,18,,町野仁志,1,nan,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,1.00,2,0,0,0,0.0,3,2,0,66.7,1
2004-02-29,JTサンダーズ,パナソニックパンサーズ,20,,尾上健司,4,■,■,□,■,nan,10,6,2,60.0,40.0,1.50,0,0,0,-,0,-,17,0,1,4,5.9,0,0,0,-,6
2004-02-29,JTサンダーズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,116,51,15,44.0,31.0,12.75,25,11,5,44.0,7,1.75,88,2,18,19,7.7,82,51,0,62.2,60
