試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-01-11,JTサンダーズ,パナソニックパンサーズ,1,,宮下雅寛,4,■,■,■,■,nan,9,5,1,55.6,44.4,1.25,0,0,0,-,1,0.25,21,0,1,7,8.3,0,0,0,-,6
2004-01-11,JTサンダーズ,パナソニックパンサーズ,2,,平野信孝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-11,JTサンダーズ,パナソニックパンサーズ,3,,苅谷淳司,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-11,JTサンダーズ,パナソニックパンサーズ,4,,河野裕輔,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-11,JTサンダーズ,パナソニックパンサーズ,6,,臺光章,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,10,1,1,3,17.5,0,0,0,-,1
2004-01-11,JTサンダーズ,パナソニックパンサーズ,8,,徳元幸人,4,■,■,■,■,nan,17,9,1,52.9,47.1,2.25,0,0,0,-,0,-,20,0,0,3,3.8,15,8,0,53.3,9
2004-01-11,JTサンダーズ,パナソニックパンサーズ,10,,直弘龍治,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-11,JTサンダーズ,パナソニックパンサーズ,11,,前田悟,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-11,JTサンダーズ,パナソニックパンサーズ,12,L,山本健之,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,18,0,85.7,0
2004-01-11,JTサンダーズ,パナソニックパンサーズ,17,,内冨寛法,4,■,■,■,■,nan,24,9,0,37.5,37.5,2.25,12,4,0,33.3,4,1.00,14,0,4,6,10.7,0,0,0,-,13
2004-01-11,JTサンダーズ,パナソニックパンサーズ,20,,尾上健司,4,■,■,■,■,nan,11,7,0,63.6,63.6,1.75,0,0,0,-,5,1.25,13,1,3,3,13.5,0,0,0,-,13
2004-01-11,JTサンダーズ,パナソニックパンサーズ,21,,サベリエフイリア,4,■,■,■,■,nan,32,18,1,56.2,53.1,4.50,8,6,0,75.0,2,0.50,17,1,3,9,19.1,36,17,0,47.2,21
2004-01-11,JTサンダーズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,93,48,3,51.6,48.4,12.00,20,10,0,50.0,12,3.00,95,3,12,31,11.3,72,43,0,59.7,63
