試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2014-04-06,JTサンダーズ,パナソニックパンサーズ,2,,町野仁志,5,■,■,■,■,■,10,7,0,70.0,70.0,1.40,0,0,0,-,3,0.60,13,0,1,2,3.8,0,0,0,-,10
2014-04-06,JTサンダーズ,パナソニックパンサーズ,3,L,酒井大祐,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,15,0,62.5,0
2014-04-06,JTサンダーズ,パナソニックパンサーズ,4,,國近公太,2,■,■,nan,nan,nan,12,2,1,16.7,8.3,1.00,0,0,0,-,0,-,7,0,1,4,14.3,13,6,0,46.2,2
2014-04-06,JTサンダーズ,パナソニックパンサーズ,5,,神田聖馬,3,nan,nan,□,□,■,9,4,1,44.4,33.3,1.33,8,3,1,37.5,0,-,8,1,1,3,21.9,0,0,0,-,5
2014-04-06,JTサンダーズ,パナソニックパンサーズ,6,,菅直哉,2,nan,nan,nan,□,■,0,0,0,,,-,0,0,0,-,1,0.50,3,0,1,0,0.0,0,0,0,-,1
2014-04-06,JTサンダーズ,パナソニックパンサーズ,8,,越川優,5,■,■,■,■,■,34,18,2,52.9,47.1,3.60,5,3,0,60.0,1,0.20,20,1,2,13,20.2,30,21,0,70.0,20
2014-04-06,JTサンダーズ,パナソニックパンサーズ,11,,安井勇誠,4,■,■,■,■,nan,48,15,5,31.2,20.8,3.75,22,8,3,36.4,2,0.50,10,1,1,5,22.5,0,0,0,-,18
2014-04-06,JTサンダーズ,パナソニックパンサーズ,15,,オムルチェンイゴール,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-04-06,JTサンダーズ,パナソニックパンサーズ,16,,塚崎祐平,4,nan,□,■,■,■,29,14,3,48.3,37.9,3.50,4,2,2,50.0,4,1.00,11,0,2,3,6.8,25,15,0,60.0,18
2014-04-06,JTサンダーズ,パナソニックパンサーズ,17,,深津旭弘,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,12,1,0,5,17.1,0,0,0,-,2
2014-04-06,JTサンダーズ,パナソニックパンサーズ,18,,石橋健,5,□,■,■,■,■,10,4,1,40.0,30.0,0.80,0,0,0,-,0,-,15,0,0,3,5.0,0,0,0,-,4
2014-04-06,JTサンダーズ,パナソニックパンサーズ,19,,井上俊輔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-04-06,JTサンダーズ,パナソニックパンサーズ,20,,筧本翔昂,1,■,nan,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,1,0,0.0,1,0,0,0.0,0
2014-04-06,JTサンダーズ,パナソニックパンサーズ,21,L,大上正裕,1,nan,nan,nan,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2014-04-06,JTサンダーズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,153,64,13,41.8,33.3,12.80,39,16,6,41.0,12,2.40,100,4,10,38,13.1,94,58,0,61.7,80
