試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2018-02-18,JTサンダーズ,パナソニックパンサーズ,2,,町野仁志,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,JTサンダーズ,パナソニックパンサーズ,3,,深津旭弘,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,21,2,0,5,15.5,0,0,0,-,3
2018-02-18,JTサンダーズ,パナソニックパンサーズ,4,,中島健太,4,■,■,■,■,nan,6,3,1,50.0,33.3,0.75,0,0,0,-,1,0.25,11,0,0,0,0.0,1,1,0,100.0,4
2018-02-18,JTサンダーズ,パナソニックパンサーズ,5,,吉岡光大,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,JTサンダーズ,パナソニックパンサーズ,7,,八子大輔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,JTサンダーズ,パナソニックパンサーズ,8,,久原大輝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,JTサンダーズ,パナソニックパンサーズ,10,L,井上航,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,8,6,64.7,0
2018-02-18,JTサンダーズ,パナソニックパンサーズ,11,,安井勇誠,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,JTサンダーズ,パナソニックパンサーズ,14,,エドガートーマス,4,■,■,■,■,nan,51,28,1,54.9,52.9,7.00,23,13,1,56.5,5,1.25,20,2,5,8,13.8,0,0,0,-,35
2018-02-18,JTサンダーズ,パナソニックパンサーズ,15,L,唐川大志,3,nan,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,JTサンダーズ,パナソニックパンサーズ,17,,金子聖輝,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2018-02-18,JTサンダーズ,パナソニックパンサーズ,18,,山本将平,4,■,■,■,■,nan,19,13,0,68.4,68.4,3.25,0,0,0,-,2,0.50,14,0,2,5,5.4,25,9,7,50.0,15
2018-02-18,JTサンダーズ,パナソニックパンサーズ,19,,小野寺太志,4,■,■,■,■,nan,13,6,0,46.2,46.2,1.50,0,0,0,-,4,1.00,13,0,2,1,-1.9,2,2,0,100.0,10
2018-02-18,JTサンダーズ,パナソニックパンサーズ,24,,武智洸史,4,■,■,■,■,nan,17,9,3,52.9,35.3,2.25,1,0,0,0.0,1,0.25,17,0,4,3,-1.5,27,12,9,61.1,10
2018-02-18,JTサンダーズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,106,59,5,55.7,50.9,14.75,24,13,1,54.2,14,3.50,98,4,13,22,6.4,72,32,22,59.7,77
