試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-26,5,,井上慎一朗,1,,,□,,,2,2,0,1.0,1.0,2.00,0,0,0,-,0,-,1,0,1,0,-25.0,3,0,1,16.7
2019-11-09,5,,井上慎一朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-10,5,,井上慎一朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-17,5,,井上慎一朗,3,□,□,□,,,4,2,0,0.5,0.5,0.67,0,0,0,-,0,-,1,0,0,0,0.0,2,0,0,0.0
2019-11-30,5,,井上慎一朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-01,5,,井上慎一朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-07,5,,井上慎一朗,1,,□,,,,3,0,1,0.0,-0.3333333333333333,-,0,0,0,-,0,-,1,0,0,0,0.0,2,1,0,50.0
2019-12-08,5,,井上慎一朗,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-
2020-01-11,5,,井上慎一朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-12,5,,井上慎一朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-18,5,,井上慎一朗,3,□,,□,□,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,1,12.5,3,0,0,0.0
2020-01-26,5,,井上慎一朗,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-08,5,,井上慎一朗,1,,,□,,,1,0,0,0.0,0.0,-,0,0,0,-,1,1.00,0,0,0,0,-,0,0,0,-
