試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-01-16,JTサンダーズ広島,1,,安永拓弥,4,■,■,■,■,nan,8,5,0,0.625,0.625,1.25,0,0,0,-,2,0.50,7,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,2,,小野寺太志,4,■,■,■,■,nan,18,10,0,0.5555555555555556,0.5555555555555556,2.50,0,0,0,-,0,-,18,1,1,3,8.3,1,0,0,0.0,,,,,,,,
2021-01-16,JTサンダーズ広島,3,,深津旭弘,4,■,■,■,■,nan,1,1,0,1.0,1.0,0.25,0,0,0,-,2,0.50,17,0,1,2,1.5,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,4,,中島健太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,5,,井上慎一朗,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,9,1,1,0,8.3,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,6,,エドガートーマス,4,■,■,■,■,nan,31,17,3,0.5483870967741935,0.45161290322580644,4.25,7,5,1,71.4,3,0.75,10,0,4,3,-2.5,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,8,,武智洸史,1,nan,nan,nan,□,nan,2,1,0,0.5,0.5,1.00,0,0,0,-,0,-,2,0,0,0,0.0,4,3,1,87.5,,,,,,,,
2021-01-16,JTサンダーズ広島,10,L,井上航,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,12,,合田心平,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,14,,熊倉允,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,15,L,唐川大志,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,7,2,72.7,,,,,,,,
2021-01-16,JTサンダーズ広島,17,,金子聖輝,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2021-01-16,JTサンダーズ広島,18,,山本将平,4,■,■,■,■,nan,17,7,0,0.4117647058823529,0.4117647058823529,1.75,2,2,0,100.0,2,0.50,18,1,4,3,4.2,17,8,4,58.8,,,,,,,,
2021-01-16,JTサンダーズ広島,19,,陳建禎,4,■,■,■,■,nan,19,10,0,0.5263157894736842,0.5263157894736842,2.50,2,1,0,50.0,1,0.25,10,0,1,0,-2.5,22,13,3,65.9,,,,,,,,
2021-01-16,JTサンダーズ広島,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,96,51,3,0.53125,0.5,12.75,11,8,1,72.7,10,2.50,94,3,13,14,3.5,55,31,10,65.5,116,54,7,46.6,2,0.50,0.0,66.2
