試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-26,2,,小野寺太志,3,■,■,■,,,10,6,0,0.6,0.6,2.00,0,0,0,-,6,2.00,9,1,1,3,16.7,1,0,0,0.0
2019-10-27,2,,小野寺太志,3,■,■,■,,,8,6,1,0.75,0.625,2.00,0,0,0,-,2,0.67,17,0,2,4,2.9,4,3,1,87.5
2019-11-02,2,,小野寺太志,3,■,■,■,,,7,3,0,0.42857142857142855,0.42857142857142855,1.00,0,0,0,-,4,1.33,11,1,3,2,6.8,0,0,0,-
2019-11-03,2,,小野寺太志,3,■,■,■,,,7,6,0,0.8571428571428571,0.8571428571428571,2.00,0,0,0,-,5,1.67,10,0,1,4,7.5,0,0,0,-
2019-11-09,2,,小野寺太志,4,■,■,■,■,,10,6,0,0.6,0.6,1.50,0,0,0,-,0,-,14,1,0,4,14.3,2,1,1,75.0
2019-11-10,2,,小野寺太志,4,■,■,■,■,,13,9,0,0.6923076923076923,0.6923076923076923,2.25,0,0,0,-,4,1.00,14,1,3,3,7.1,1,0,1,50.0
2019-11-16,2,,小野寺太志,3,■,■,■,,,12,6,2,0.5,0.3333333333333333,2.00,0,0,0,-,2,0.67,8,0,0,2,6.2,0,0,0,-
2019-11-17,2,,小野寺太志,3,■,■,■,,,6,3,0,0.5,0.5,1.00,0,0,0,-,1,0.33,14,0,2,4,3.6,1,1,0,100.0
2019-11-23,2,,小野寺太志,5,■,■,■,■,■,12,8,0,0.6666666666666666,0.6666666666666666,1.60,0,0,0,-,6,1.20,21,1,4,4,4.8,1,0,0,0.0
2019-11-30,2,,小野寺太志,3,■,■,■,,,10,9,1,0.9,0.8,3.00,0,0,0,-,2,0.67,12,3,2,1,22.9,3,0,0,0.0
2019-12-01,2,,小野寺太志,5,■,■,■,■,■,10,7,0,0.7,0.7,1.40,0,0,0,-,4,0.80,24,2,3,7,12.5,2,2,0,100.0
2019-12-07,2,,小野寺太志,3,■,■,■,,,14,11,0,0.7857142857142857,0.7857142857142857,3.67,0,0,0,-,5,1.67,14,1,1,4,12.5,4,4,0,100.0
2019-12-08,2,,小野寺太志,3,■,■,■,,,3,3,0,1.0,1.0,1.00,0,0,0,-,1,0.33,13,1,1,2,9.6,1,0,1,50.0
2019-12-14,2,,小野寺太志,3,■,■,■,,,11,8,0,0.7272727272727273,0.7272727272727273,2.67,0,0,0,-,4,1.33,9,0,2,2,0.0,2,0,1,25.0
2019-12-15,2,,小野寺太志,3,■,■,■,,,10,6,0,0.6,0.6,2.00,0,0,0,-,0,-,7,0,3,0,-10.7,1,1,0,100.0
2019-12-21,2,,小野寺太志,5,■,■,■,■,■,17,11,0,0.6470588235294118,0.6470588235294118,2.20,0,0,0,-,1,0.20,12,1,1,2,10.4,4,2,0,50.0
2020-01-11,2,,小野寺太志,3,■,■,■,,,11,3,1,0.2727272727272727,0.18181818181818185,1.00,0,0,0,-,0,-,11,1,2,2,9.1,3,1,0,33.3
2020-01-12,2,,小野寺太志,4,■,■,■,■,,11,5,0,0.4545454545454545,0.4545454545454545,1.25,0,0,0,-,3,0.75,18,2,3,3,11.1,1,0,0,0.0
2020-01-18,2,,小野寺太志,4,■,■,■,■,,15,10,1,0.6666666666666666,0.6,2.50,0,0,0,-,1,0.25,13,0,0,1,1.9,2,1,1,75.0
2020-01-19,2,,小野寺太志,3,■,■,■,,,11,8,0,0.7272727272727273,0.7272727272727273,2.67,0,0,0,-,1,0.33,10,0,1,5,10.0,1,0,0,0.0
2020-01-25,2,,小野寺太志,3,■,■,■,,,10,7,0,0.7,0.7,2.33,1,0,0,0.0,8,2.67,12,1,2,3,10.4,0,0,0,-
2020-01-26,2,,小野寺太志,3,■,■,■,,,11,9,0,0.8181818181818182,0.8181818181818182,3.00,0,0,0,-,1,0.33,11,1,0,3,15.9,1,1,0,100.0
2020-02-01,2,,小野寺太志,4,■,■,■,■,,14,13,0,0.9285714285714286,0.9285714285714286,3.25,0,0,0,-,3,0.75,13,0,2,3,1.9,1,0,1,50.0
2020-02-02,2,,小野寺太志,4,■,■,■,■,,11,6,0,0.5454545454545454,0.5454545454545454,1.50,0,0,0,-,1,0.25,12,1,2,1,6.2,0,0,0,-
2020-02-08,2,,小野寺太志,2,■,■,,,,6,4,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,1,0.50,7,1,1,3,21.4,1,1,0,100.0
2020-02-09,2,,小野寺太志,4,■,■,■,■,,12,8,1,0.6666666666666666,0.5833333333333334,2.00,0,0,0,-,1,0.25,15,0,0,5,8.3,0,0,0,-
2020-02-15,2,,小野寺太志,3,■,■,■,,,8,3,2,0.375,0.125,1.00,0,0,0,-,2,0.67,12,1,2,4,12.5,0,0,0,-
