試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,2,,細川延由,3,□,nan,□,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,1,1,6.2,0,0,0,-,0
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,5,,大関元樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,6,,竹内実,4,■,■,■,■,nan,21,10,4,47.6,28.6,2.50,5,3,1,60.0,1,0.25,15,0,3,1,1.7,38,28,0,73.7,11
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,8,L,西村晃一,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,14,0,93.3,0
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,10,,青木一平,4,■,■,■,■,nan,15,7,0,46.7,46.7,1.75,0,0,0,-,3,0.75,21,1,0,1,6.0,0,0,0,-,11
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,11,,渡邉正堂,4,■,■,■,■,nan,4,3,0,75.0,75.0,0.75,0,0,0,-,3,0.75,11,0,0,0,0.0,0,0,0,-,6
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,12,,奥田晃,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,14,,鎌田修,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-,0
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,16,,佐藤宝男,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,18,,ロドリゲスアンデルソン,4,■,■,■,■,nan,44,29,6,65.9,52.3,7.25,21,12,5,57.1,1,0.25,15,0,6,6,10.0,0,0,0,-,30
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,20,,大村悟,4,■,■,■,■,nan,23,16,1,69.6,65.2,4.00,4,3,1,75.0,0,-,12,0,2,1,2.1,16,13,0,81.2,16
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,21,,宇佐美大輔,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,17,0,3,3,4.4,1,0,0,0.0,0
2002-03-15,NECブルーロケッツ,堺ブレイザーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,108,65,11,60.2,50.0,16.25,30,18,7,60.0,8,2.00,98,1,16,13,4.3,70,55,0,78.6,74
