試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,1,,大村悟,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,2,,細川延由,3,■,■,■,nan,nan,23,11,1,47.8,43.5,3.67,5,3,1,60.0,1,0.33,14,0,4,4,7.1,25,11,0,44.0,12
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,3,L,大森陽祐,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,12,0,70.6,0
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,5,,足立和弘,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0,0,-,0
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,6,,竹内実,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,7,,菊地洋之,3,■,■,■,nan,nan,10,6,1,60.0,50.0,2.00,0,0,0,-,3,1.00,8,1,1,0,12.5,0,0,0,-,10
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,8,,宇佐美大輔,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,16,0,4,4,6.2,0,0,0,-,1
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,9,,脇戸新之助,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,10,,青木一平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,17,,松本慶彦,3,■,■,■,nan,nan,12,7,1,58.3,50.0,2.33,0,0,0,-,2,0.67,8,1,1,0,12.5,0,0,0,-,10
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,18,,浅倉勇,3,■,■,■,nan,nan,19,9,2,47.4,36.8,3.00,1,1,0,100.0,0,-,11,0,3,2,4.5,20,17,0,85.0,9
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,21,,ペレイラマックス,3,■,■,■,nan,nan,23,17,2,73.9,65.2,5.67,8,6,1,75.0,1,0.33,14,1,3,2,10.7,0,0,0,-,19
2004-12-12,NECブルーロケッツ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,88,51,7,58.0,50.0,17.00,14,10,2,71.4,7,2.33,77,3,18,14,8.4,62,40,0,64.5,61
