試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,1,,中川一,3,■,■,■,nan,nan,11,4,1,36.4,27.3,1.33,0,0,0,-,2,0.67,7,0,3,1,3.6,0,0,0,-,6
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,3,,金近潤,3,■,■,■,nan,nan,28,13,2,46.4,39.3,4.33,10,4,2,40.0,1,0.33,11,0,0,4,9.1,9,7,0,77.8,14
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,4,,山元克之,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,5,,前田悟,3,■,■,■,nan,nan,4,1,0,25.0,25.0,0.33,1,0,0,0.0,1,0.33,12,0,5,4,8.3,0,0,0,-,2
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,6,,和田一彦,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,7,,小林宙史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,8,,西田靖宏,3,■,■,■,nan,nan,27,13,1,48.1,44.4,4.33,13,4,0,30.8,3,1.00,16,1,0,3,9.7,8,5,0,62.5,17
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,9,,山口雅行,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,10,,山名邦卓,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,11,,美保考男,3,■,■,■,nan,nan,20,6,4,30.0,10.0,2.00,0,0,0,-,1,0.33,11,0,2,0,0.0,22,14,0,63.6,7
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,12,L,置本雅司,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,29,25,0,86.2,0
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,15,,五十里朗,3,■,■,■,nan,nan,14,6,0,42.9,42.9,2.00,0,0,0,-,3,1.00,6,0,1,1,4.2,0,0,0,-,9
2000-02-23,NTT西日本レグルス,NECブルーロケッツ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,104,43,8,41.3,33.7,14.33,24,8,2,33.3,11,3.67,66,1,11,14,6.5,68,51,0,75.0,55
