試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,1,,ストレジェクパトリック,4,■,■,■,■,nan,49,20,7,40.8,26.5,5.00,25,9,4,36.0,1,0.25,12,0,2,5,6.2,0,0,0,-,21
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,2,,須貝祐介,1,□,nan,nan,nan,nan,1,1,0,100.0,100.0,1.00,1,1,0,100.0,0,-,1,0,0,0,0.0,0,0,0,-,1
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,5,,笠利真吾,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,4,1,0,25.0,0
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,7,,栗木勇,4,■,■,■,■,nan,16,5,0,31.2,31.2,1.25,0,0,0,-,0,-,10,0,2,1,-2.5,27,11,8,55.6,5
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,9,,池田幸太,4,■,■,■,■,nan,27,10,5,37.0,18.5,2.50,4,2,0,50.0,2,0.50,14,2,5,7,17.9,21,5,1,26.2,14
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,10,L,杉山嵩樹,3,nan,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,12,L,山本憲吾,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,8,4,45.5,0
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,13,,椿芽久,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,13,0,0,3,5.8,0,0,0,-,0
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,14,,矢貫龍馬,4,■,■,■,■,nan,7,4,0,57.1,57.1,1.00,0,0,0,-,1,0.25,12,0,2,2,0.0,2,0,0,0.0,5
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,15,,波佐間泰平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,16,,森崎健史,4,■,■,■,■,nan,12,8,0,66.7,66.7,2.00,0,0,0,-,1,0.25,14,0,2,5,5.4,2,1,0,50.0,9
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,17,,松村文斗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,21,,高澤和貴,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,24,,長田翼,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-01-12,VC長野トライデンツ,サントリーサンバーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,112,48,12,42.9,32.1,12.00,30,12,4,40.0,5,1.25,77,2,13,23,5.8,78,26,13,41.7,55
