試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-26,21,,高澤和貴,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-02,21,,高澤和貴,2,,□,□,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,3,1,0,0,33.3,3,2,0,66.7
2019-11-03,21,,高澤和貴,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2019-11-09,21,,高澤和貴,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,4,1,0,0,25.0,0,0,0,-
2019-11-10,21,,高澤和貴,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,7,1,0,3,25.0,0,0,0,-
2019-11-16,21,,高澤和貴,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2019-11-17,21,,高澤和貴,2,,□,■,,,6,5,0,0.8333333333333334,0.8333333333333334,2.50,0,0,0,-,0,-,8,0,2,2,0.0,11,7,2,72.7
2019-11-23,21,,高澤和貴,3,□,□,□,,,4,3,0,0.75,0.75,1.00,0,0,0,-,0,-,6,0,1,0,-4.2,9,4,2,55.6
2019-11-24,21,,高澤和貴,3,□,■,■,,,3,0,1,0.0,-0.3333333333333333,-,0,0,0,-,0,-,5,0,1,0,-5.0,9,2,2,33.3
2019-11-30,21,,高澤和貴,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-07,21,,高澤和貴,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,1,50.0
2019-12-08,21,,高澤和貴,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
2019-12-14,21,,高澤和貴,2,,□,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,2,1,62.5
2019-12-15,21,,高澤和貴,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,4,0,100.0
2019-12-21,21,,高澤和貴,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,1,75.0
2019-12-22,21,,高澤和貴,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-11,21,,高澤和貴,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,1,2,50.0
2020-01-12,21,,高澤和貴,2,,,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-18,21,,高澤和貴,3,□,□,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,0,50.0
2020-01-19,21,,高澤和貴,3,□,,□,□,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,4,3,1,87.5
2020-01-25,21,L,高澤和貴,3,〇,〇,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-26,21,L,高澤和貴,3,〇,〇,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-01,21,,高澤和貴,4,,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,0,2,33.3
2020-02-02,21,,高澤和貴,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,3,1,0,1,41.7,2,0,1,25.0
2020-02-08,21,,高澤和貴,3,,□,,□,□,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,-12.5,5,2,3,70.0
2020-02-15,21,,高澤和貴,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-16,21,,高澤和貴,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,3,0,1,16.7
