試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2020-10-31,VC長野トライデンツ,4,,中村竜輔,3,■,■,■,nan,nan,6,1,0,0.16666666666666666,0.16666666666666666,0.33,0,0,0,-,1,0.33,10,1,2,0,5.0,1,0,0,0.0,,,,,,,,
2020-10-31,VC長野トライデンツ,5,,笠利真吾,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,6,,伊藤樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,7,,戸嵜嵩大,3,■,■,■,nan,nan,17,7,2,0.4117647058823529,0.29411764705882354,2.33,4,2,1,50.0,0,-,10,0,4,4,0.0,23,12,7,67.4,,,,,,,,
2020-10-31,VC長野トライデンツ,8,,河東祐大,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,9,,池田幸太,3,■,■,■,nan,nan,15,5,3,0.3333333333333333,0.13333333333333333,1.67,2,0,0,0.0,0,-,8,0,2,2,0.0,18,6,5,47.2,,,,,,,,
2020-10-31,VC長野トライデンツ,10,,ヌルムルキリヴァン,3,■,■,■,nan,nan,34,14,2,0.4117647058823529,0.35294117647058826,4.67,17,9,2,52.9,0,-,12,0,3,6,6.2,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,12,L,山本憲吾,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,6,3,62.5,,,,,,,,
2020-10-31,VC長野トライデンツ,13,,椿芽久,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,15,,波佐間泰平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,16,,森崎健史,3,■,■,■,nan,nan,7,5,0,0.7142857142857143,0.7142857142857143,1.67,0,0,0,-,0,-,10,1,2,2,10.0,1,0,0,0.0,,,,,,,,
2020-10-31,VC長野トライデンツ,21,,高澤和貴,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,22,L,角雅也,2,nan,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,24,,長田翼,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-31,VC長野トライデンツ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,79,32,7,0.4050632911392405,0.31645569620253167,10.67,23,11,3,47.8,1,0.33,59,2,13,14,3.8,55,24,15,57.3,74,49,4,66.2,3,1.00,3.4,55.7
