試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-03-06,VC長野トライデンツ,3,,池田颯太,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,4,,中村竜輔,3,■,■,■,nan,nan,6,4,0,66.7,66.7,1.33,0,0,0,-,1,0.33,7,0,2,0,-7.1,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,5,,笠利真吾,2,nan,□,■,nan,nan,5,2,1,40.0,20.0,1.00,0,0,0,-,0,-,4,0,1,0,-6.2,12,4,3,45.8,,,,,,,,
2021-03-06,VC長野トライデンツ,6,,伊藤樹,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,7,,戸嵜嵩大,3,■,■,■,nan,nan,20,10,1,50.0,45.0,3.33,3,3,0,100.0,2,0.67,8,1,2,2,12.5,23,8,6,47.8,,,,,,,,
2021-03-06,VC長野トライデンツ,8,,河東祐大,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,0,1,2.8,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,9,,池田幸太,2,■,■,nan,nan,nan,3,2,1,66.7,33.3,1.00,0,0,0,-,0,-,6,0,3,0,-12.5,14,4,4,42.9,,,,,,,,
2021-03-06,VC長野トライデンツ,10,,ヌルムルキリヴァン,3,■,■,■,nan,nan,41,19,4,46.3,36.6,6.33,22,14,3,63.6,0,-,18,2,1,6,18.1,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,12,L,山本憲吾,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,4,1,40.9,,,,,,,,
2021-03-06,VC長野トライデンツ,13,,椿芽久,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,14,,矢貫龍馬,3,■,■,■,nan,nan,6,3,1,50.0,33.3,1.00,0,0,0,-,0,-,10,0,0,4,10.0,2,0,2,50.0,,,,,,,,
2021-03-06,VC長野トライデンツ,15,,波佐間泰平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,21,,高澤和貴,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,22,L,角雅也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-03-06,VC長野トライデンツ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,81,40,8,49.4,39.5,13.33,25,17,3,68.0,3,1.00,63,3,10,13,6.0,62,20,16,45.2,76,45,6,59.2,7,2.33,12.2,57.8
