試合日,年月,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,1,,中野順平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,3,,加藤陽一,5,■,■,■,■,■,32,10,3,31.2,21.9,2.00,8,4,2,50.0,1,0.20,15,1,2,3,10.3,27,18,0,66.7,12
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,5,,笠原紀久,1,■,,,,,5,1,0,20.0,20.0,1.00,0,0,0,-,0,-,3,0,1,0,0.0,4,3,0,75.0,1
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,6,,山口誠,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,1,0.20,21,0,3,4,4.8,0,0,0,-,1
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,7,,齋藤信治,5,□,■,■,■,■,41,19,4,46.3,36.6,3.80,11,5,1,45.5,4,0.80,15,0,2,2,3.3,0,0,0,-,23
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,8,,泉川正幸,5,■,■,■,■,■,27,12,3,44.4,33.3,2.40,9,3,1,33.3,1,0.20,20,0,2,1,1.2,22,20,0,90.9,13
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,10,,天谷陽介,3,□,,□,□,,0,0,0,,,-,0,0,0,-,1,0.33,3,0,0,0,0.0,2,1,0,50.0,1
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,11,,小林敦,5,■,■,■,■,■,20,11,1,55.0,50.0,2.20,0,0,0,-,5,1.00,13,0,1,0,0.0,1,0,0,0.0,16
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,14,,渡貫健三,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,8,0,1,1,3.1,0,0,0,-,0
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,16,,高杉洋平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,18,L,浅川敏,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,44,38,0,86.4,0
2000-12-15,2000-12,12,東レアローズ,NECブルーロケッツ,19,,ホフトーマス,5,■,■,■,■,■,19,11,2,57.9,47.4,2.20,0,0,0,-,4,0.80,16,0,2,2,3.1,1,1,0,100.0,15
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,1,,藤井壮浩,3,□,,□,□,,0,0,0,,,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,0
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,2,,細川延由,5,■,■,■,■,■,40,18,5,45.0,32.5,3.60,6,3,0,50.0,1,0.20,23,1,4,5,8.9,31,22,0,71.0,20
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,3,L,大森陽祐,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,34,32,0,94.1,0
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,5,,大関元樹,5,■,■,■,■,■,14,6,1,42.9,35.7,1.20,0,0,0,-,5,1.00,19,1,4,5,11.8,0,0,0,-,12
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,6,,竹内実,5,■,■,■,■,■,33,12,4,36.4,24.2,2.40,6,2,2,33.3,0,-,17,0,1,3,4.4,35,32,0,91.4,12
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,9,,脇戸新之助,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,1,0.20,16,0,0,0,0.0,0,0,0,-,1
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,10,,青木一平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,11,,渡邉正堂,5,■,■,■,■,■,11,6,0,54.5,54.5,1.20,0,0,0,-,5,1.00,18,0,3,3,4.2,0,0,0,-,11
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,12,,奥田晃,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,14,,鎌田修,5,■,■,■,■,■,60,28,4,46.7,40.0,5.60,16,9,0,56.2,1,0.20,17,1,2,2,8.8,0,0,0,-,30
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,16,,佐藤宝男,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-12-15,2000-12,12,NECブルーロケッツ,東レアローズ,17,,足立和弘,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2000-12-16,2000-12,12,サントリーサンバーズ,富士フイルム・プラネッツ,1,,朝日健太郎,3,■,■,■,,,8,5,0,62.5,62.5,1.67,0,0,0,-,2,0.67,7,0,4,0,0.0,0,0,0,-,7
2000-12-16,2000-12,12,サントリーサンバーズ,富士フイルム・プラネッツ,2,,佐々木太一,3,■,■,■,,,10,5,0,50.0,50.0,1.67,0,0,0,-,2,0.67,14,1,0,7,18.2,2,1,0,50.0,8
2000-12-16,2000-12,12,サントリーサンバーズ,富士フイルム・プラネッツ,3,,宮本守,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0,0,-,0
