名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カントルサンドロ,パナソニックパンサーズ,22,9,78,43,4,55.1,50.0,27,15,1,3,31,0,8,8,34,27,0,46,55.6,4.8,0.3,0.0,79.4
サベリエフイリア,JTサンダーズ,21,9,105,59,6,56.2,50.5,33,18,5,4,44,2,17,19,46,36,0,65,54.5,6.6,0.4,5.7,78.3
ジルソンベルナルド,サントリーサンバーズ,16,8,98,58,10,59.2,49.0,45,26,5,3,35,5,14,13,0,0,0,66,57.8,7.2,0.4,13.6,
ロドリゲスアンデルソン,NECブルーロケッツ,18,9,85,43,9,50.6,40.0,39,22,5,5,44,10,15,10,5,2,0,58,56.4,4.8,0.6,19.9,40.0
下田悟,JTサンダーズ,7,3,8,1,1,12.5,0.0,0,0,0,1,6,0,1,1,11,8,0,2,,0.3,0.3,0.0,72.7
久保尚志,パナソニックパンサーズ,11,5,0,0,0,,,0,0,0,0,5,0,4,0,0,0,0,0,,0.0,0.0,-20.0,
今井啓介,パナソニックパンサーズ,4,9,22,9,2,40.9,31.8,0,0,0,5,28,0,7,5,0,0,0,14,,1.0,0.6,-1.8,
佐々木太一,サントリーサンバーズ,2,8,19,8,1,42.1,36.8,0,0,0,10,37,4,7,5,1,0,0,22,,1.0,1.2,9.5,0.0
前田悟,JTサンダーズ,11,8,1,1,0,100.0,100.0,0,0,0,0,18,0,6,4,0,0,0,1,,0.1,0.0,-2.8,
北川祐介,パナソニックパンサーズ,9,9,24,8,1,33.3,29.2,0,0,0,8,24,0,2,4,0,0,0,16,,0.9,0.9,2.1,
坂本雄一郎,サントリーサンバーズ,3,4,2,1,0,50.0,50.0,0,0,0,2,9,0,1,0,1,1,0,3,,0.2,0.5,-2.8,100.0
大村悟,NECブルーロケッツ,16,7,32,15,2,46.9,40.6,5,2,1,0,23,0,1,2,33,22,0,15,40.0,2.1,0.0,1.1,66.7
大森陽祐,NECブルーロケッツ,3,9,0,0,0,,,0,0,0,0,0,0,0,0,48,41,0,0,,0.0,0.0,,85.4
大関元樹,NECブルーロケッツ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
奥谷信彦,NECブルーロケッツ,20,9,0,0,0,,,0,0,0,0,11,1,0,1,0,0,0,1,,0.0,0.0,11.4,
宇佐美大輔,NECブルーロケッツ,8,9,3,2,0,66.7,66.7,0,0,0,1,36,3,5,7,1,0,0,6,,0.2,0.1,9.7,0.0
宮下雅寛,JTサンダーズ,1,10,15,8,2,53.3,40.0,0,0,0,3,33,2,6,13,0,0,0,13,,0.8,0.3,11.4,
小坂慎吾,サントリーサンバーズ,5,7,12,7,1,58.3,50.0,0,0,0,1,19,3,5,0,22,16,0,11,,1.0,0.1,9.2,72.7
小糸敬夫,パナソニックパンサーズ,6,9,0,0,0,,,0,0,0,0,0,0,0,0,77,57,0,0,,0.0,0.0,,74.0
