名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
カントルサンドロ,02,パナソニックパンサーズ,22,13,97,47,8,48.5,40.2,11,3,3,7,50,4,14,21,72,47,0,58,27.3,3.6,0.5,11.5,65.3
カントルサンドロ,03,パナソニックパンサーズ,22,4,38,20,3,52.6,44.7,5,2,2,3,15,1,2,6,23,16,0,24,40.0,5.0,0.8,13.3,69.6
サベリエフイリア,02,JTサンダーズ,21,7,67,33,10,49.3,34.3,15,6,4,5,29,3,5,12,44,29,0,41,40.0,4.7,0.7,16.4,65.9
サベリエフイリア,03,JTサンダーズ,21,8,66,34,7,51.5,40.9,11,9,2,1,28,1,8,9,49,30,0,36,81.8,4.2,0.1,4.5,61.2
ジルソンベルナルド,02,サントリーサンバーズ,16,12,129,65,15,50.4,38.8,57,30,7,3,38,5,5,14,0,0,0,73,52.6,5.4,0.2,19.1,
ジルソンベルナルド,03,サントリーサンバーズ,16,8,83,44,7,53.0,44.6,28,18,3,1,34,6,9,13,0,0,0,51,64.3,5.5,0.1,20.6,
ビリングスブルック,02,堺ブレイザーズ,19,12,64,26,6,40.6,31.2,26,13,3,5,34,0,5,7,0,0,0,31,50.0,2.2,0.4,1.5,
ビリングスブルック,03,堺ブレイザーズ,19,1,7,1,1,14.3,0.0,5,1,1,0,3,0,0,1,0,0,0,1,20.0,1.0,0.0,8.3,
下田悟,02,JTサンダーズ,7,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,2,0,0,,0.0,0.0,,50.0
中垣内祐一,02,堺ブレイザーズ,4,4,29,12,3,41.4,31.0,18,8,2,1,12,0,1,5,0,0,0,13,44.4,3.0,0.2,8.3,
中垣内祐一,03,堺ブレイザーズ,4,3,22,8,2,36.4,27.3,11,3,2,2,9,0,1,0,0,0,0,10,27.3,2.7,0.7,-2.8,
丹山禎昭,02,JTサンダーズ,5,4,0,0,0,,,0,0,0,1,6,0,1,3,0,0,0,1,,0.0,0.2,8.3,
久保尚志,02,パナソニックパンサーズ,11,12,1,1,0,100.0,100.0,1,1,0,0,15,0,3,6,1,0,0,1,100.0,0.1,0.0,5.0,0.0
久保尚志,03,パナソニックパンサーズ,11,3,0,0,0,,,0,0,0,0,2,0,1,0,2,1,0,0,,0.0,0.0,-12.5,50.0
今井啓介,02,パナソニックパンサーズ,4,13,21,9,6,42.9,14.3,0,0,0,10,21,1,2,3,0,0,0,20,,0.7,0.8,6.0,
今井啓介,03,パナソニックパンサーズ,4,4,13,7,1,53.8,46.2,0,0,0,4,9,0,1,0,0,0,0,11,,1.8,1.0,-2.8,
伊勢隆一,02,JTサンダーズ,14,3,6,1,0,16.7,16.7,1,0,0,2,8,1,1,0,0,0,0,4,0.0,0.3,0.7,9.4,
伊藤信博,02,堺ブレイザーズ,15,12,14,8,1,57.1,50.0,0,0,0,8,38,4,8,10,0,0,0,20,,0.7,0.7,11.8,
伊藤信博,03,堺ブレイザーズ,15,4,10,3,1,30.0,20.0,1,0,1,0,14,2,3,5,0,0,0,5,0.0,0.8,0.0,17.9,
佐々木太一,02,サントリーサンバーズ,2,12,30,14,2,46.7,40.0,0,0,0,6,30,1,6,8,5,4,0,21,,1.2,0.5,5.0,80.0
佐々木太一,03,サントリーサンバーズ,2,8,15,8,0,53.3,53.3,0,0,0,6,16,0,5,2,2,2,0,14,,1.0,0.8,-4.7,100.0
内冨寛法,02,JTサンダーズ,17,5,36,16,9,44.4,19.4,14,6,4,0,11,1,3,2,0,0,0,17,42.9,3.2,0.0,6.8,
内冨寛法,03,JTサンダーズ,17,7,27,15,2,55.6,48.1,9,5,0,2,17,0,3,7,2,2,0,17,55.6,2.1,0.3,5.9,100.0
