名前,年月,チーム,背番号,月,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンジェルコチュク,2009-12,豊田合成トレフェルサ,10,72,23,260,122,18,46.9,40.0,127,54,12,13,90,3,9,27,0,0,0,138,42.5,5.3,0.57,8.3,
アンジェルコチュク,2010-01,豊田合成トレフェルサ,10,8,32,345,149,27,43.2,35.4,178,79,16,14,116,2,18,26,0,0,0,165,44.4,4.66,0.44,3.4,
アンジェルコチュク,2010-02,豊田合成トレフェルサ,10,16,29,285,126,20,44.2,37.2,124,51,10,9,93,4,15,41,0,0,0,139,41.1,4.34,0.31,11.3,
アンジェルコチュク,2010-03,豊田合成トレフェルサ,10,18,25,236,111,23,47.0,37.3,89,46,10,8,87,2,20,19,0,0,0,121,51.7,4.44,0.32,2.0,
エンダキエムブレイ,2009-12,堺ブレイザーズ,7,72,24,217,110,28,50.7,37.8,80,41,10,10,71,2,21,20,1,0,0,122,51.2,4.58,0.42,2.5,0.0
エンダキエムブレイ,2010-01,堺ブレイザーズ,7,8,26,258,128,23,49.6,40.7,98,49,14,14,92,5,22,31,1,0,0,147,50.0,4.92,0.54,7.9,0.0
エンダキエムブレイ,2010-02,堺ブレイザーズ,7,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
エンダキエムブレイ,2010-03,堺ブレイザーズ,7,12,14,52,24,5,46.2,36.5,22,12,2,3,20,2,2,4,0,0,0,29,54.5,1.71,0.21,12.5,
オンテレジェームス,2009-12,大分三好ヴァイセアドラー,10,72,20,219,93,32,42.5,27.9,89,42,16,9,56,2,24,17,0,0,0,104,47.2,4.65,0.45,0.4,
オンテレジェームス,2010-01,大分三好ヴァイセアドラー,10,8,33,376,171,45,45.5,33.5,140,62,21,14,111,13,44,34,1,0,0,198,44.3,5.18,0.42,9.5,0.0
オンテレジェームス,2010-02,大分三好ヴァイセアドラー,10,16,30,337,135,36,40.1,29.4,141,56,17,17,91,4,28,23,1,0,0,156,39.7,4.5,0.57,3.0,0.0
オンテレジェームス,2010-03,大分三好ヴァイセアドラー,10,18,20,235,104,19,44.3,36.2,99,40,12,6,83,4,23,23,1,1,0,114,40.4,5.2,0.3,4.8,100.0
ゴメスエルナルド,2009-12,JTサンダーズ,11,60,15,204,108,12,52.9,47.1,93,51,4,9,61,3,11,26,0,0,0,120,54.8,7.2,0.6,11.1,
ゴメスエルナルド,2010-01,JTサンダーズ,11,2,6,58,21,8,36.2,22.4,27,12,4,9,24,2,6,10,0,0,0,32,44.4,3.5,1.5,12.5,
ゴメスエルナルド,2010-02,JTサンダーズ,11,16,29,372,168,29,45.2,37.4,166,74,15,15,130,8,23,46,0,0,0,191,44.6,5.79,0.52,10.6,
ゴメスエルナルド,2010-03,JTサンダーズ,11,18,23,310,168,23,54.2,46.8,130,72,11,9,96,10,24,37,0,0,0,187,55.4,7.3,0.39,13.8,
タヴァレスジョンパウロ,2009-12,パナソニックパンサーズ,11,72,24,158,73,11,46.2,39.2,34,18,5,12,82,2,9,29,102,63,0,87,52.9,3.04,0.5,8.5,61.8
タヴァレスジョンパウロ,2010-01,パナソニックパンサーズ,11,2,6,22,11,0,50.0,50.0,5,4,0,0,25,4,1,10,22,13,0,15,80.0,1.83,0.0,25.0,59.1
タヴァレスジョンパウロ,2010-02,パナソニックパンサーズ,11,16,32,222,104,14,46.8,40.5,34,19,2,7,116,4,16,36,119,69,0,115,55.9,3.25,0.22,7.8,58.0
タヴァレスジョンパウロ,2010-03,パナソニックパンサーズ,11,18,21,151,57,15,37.7,27.8,20,10,1,7,82,5,14,38,87,39,0,69,50.0,2.71,0.33,13.4,44.8
テオロペス,2009-12,サントリーサンバーズ,13,72,24,225,102,18,45.3,37.3,77,32,10,12,82,1,19,18,0,0,0,115,41.6,4.25,0.5,0.9,
テオロペス,2010-01,サントリーサンバーズ,13,8,34,348,166,32,47.7,38.5,157,76,16,10,138,9,36,41,0,0,0,185,48.4,4.88,0.29,7.4,
テオロペス,2010-02,サントリーサンバーズ,13,16,28,306,146,27,47.7,38.9,116,52,13,12,127,6,21,36,0,0,0,164,44.8,5.21,0.43,7.7,
テオロペス,2010-03,サントリーサンバーズ,13,18,25,257,126,22,49.0,40.5,111,57,11,12,103,8,19,38,1,0,0,146,51.4,5.04,0.48,12.4,0.0
ブリンクマンスティーブ,2009-12,FC東京,21,72,24,81,42,5,51.9,45.7,0,0,0,13,58,0,7,7,0,0,0,55,,1.75,0.54,0.0,
ブリンクマンスティーブ,2010-01,FC東京,21,8,31,143,75,8,52.4,46.9,3,0,1,19,107,5,20,24,4,4,0,99,0.0,2.42,0.61,5.6,100.0
ブリンクマンスティーブ,2010-02,FC東京,21,16,29,141,78,10,55.3,48.2,1,0,0,23,94,6,27,22,2,1,0,107,0.0,2.69,0.79,5.1,50.0
ブリンクマンスティーブ,2010-03,FC東京,21,18,19,73,41,0,56.2,56.2,0,0,0,9,51,2,15,15,1,0,0,52,,2.16,0.47,3.9,0.0
ボヨビッチデヤン,2009-12,東レアローズ,12,72,25,226,110,17,48.7,41.2,76,36,10,9,104,5,32,22,3,1,0,124,47.4,4.4,0.36,2.4,33.3
ボヨビッチデヤン,2010-01,東レアローズ,12,8,32,324,160,30,49.4,40.1,125,65,17,16,125,9,28,30,0,0,0,185,52.0,5.0,0.5,7.6,
ボヨビッチデヤン,2010-02,東レアローズ,12,16,31,303,161,18,53.1,47.2,116,60,8,14,115,10,27,34,1,0,0,185,51.7,5.19,0.45,10.2,0.0
ボヨビッチデヤン,2010-03,東レアローズ,12,15,20,180,97,11,53.9,47.8,63,36,3,11,84,9,22,24,0,0,0,117,57.1,4.85,0.55,11.3,
三上圭治郎,2009-12,FC東京,27,72,24,139,64,13,46.0,36.7,20,11,2,2,85,3,20,23,165,113,0,69,55.0,2.67,0.08,4.4,68.5
三上圭治郎,2010-01,FC東京,27,8,25,134,53,16,39.6,27.6,14,4,4,2,74,1,19,14,159,114,0,56,28.6,2.12,0.08,-0.3,71.7
