名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アンジェルコチュク,豊田合成トレフェルサ,10,86,799,399,74,49.9,40.7,295,145,30,35,310,17,72,88,4,2,0,451,49.2,4.6,0.4,6.8,50.0
エンダキエムブレイ,堺ブレイザーズ,7,90,843,445,82,52.8,43.1,329,174,41,61,364,40,87,124,1,0,0,546,52.9,4.9,0.7,13.5,0.0
オンテレジェームス,大分三好ヴァイセアドラー,10,82,970,455,91,46.9,37.5,423,201,49,31,276,13,94,72,4,1,0,499,47.5,5.5,0.4,2.7,25.0
ゴメスエルナルド,JTサンダーズ,11,93,1132,571,77,50.4,43.6,511,266,39,43,405,43,78,166,1,0,0,657,52.1,6.1,0.5,16.0,0.0
シウマルアウメイダ,パナソニックパンサーズ,11,52,348,153,26,44.0,36.5,72,37,7,37,166,1,28,61,223,115,0,191,51.4,2.9,0.7,5.6,51.6
ゾボレビーガブリエル,FC東京,99,53,480,212,58,44.2,32.1,187,88,30,10,173,12,59,63,0,0,0,234,47.1,4.0,0.2,7.5,
テオロペス,サントリーサンバーズ,9,90,843,389,80,46.1,36.7,314,152,39,51,367,19,76,117,0,0,0,459,48.4,4.3,0.6,8.0,
ボヨビッチデヤン,東レアローズ,12,85,753,379,43,50.3,44.6,245,128,21,48,284,6,80,64,1,0,0,433,52.2,4.5,0.6,0.7,0.0
三上圭治郎,FC東京,27,86,31,9,2,29.0,22.6,2,0,0,1,30,0,7,9,419,260,0,10,0.0,0.1,0.0,1.7,62.1
上場雄也,FC東京,5,74,449,225,32,50.1,43.0,142,78,20,18,204,7,39,73,2,1,0,250,54.9,3.0,0.2,7.6,50.0
中山大祐,JTサンダーズ,8,4,0,0,0,,,0,0,0,0,5,0,2,2,0,0,0,0,,0.0,0.0,0.0,
中島悠樹,大分三好ヴァイセアドラー,13,47,102,40,12,39.2,27.5,0,0,0,35,118,0,15,30,11,10,0,75,,0.9,0.7,3.2,90.9
中村祐介,大分三好ヴァイセアドラー,21,31,67,22,6,32.8,23.9,1,1,0,4,96,3,8,21,194,123,0,29,100.0,0.7,0.1,6.5,63.4
中村紘二,大分三好ヴァイセアドラー,8,65,157,53,14,33.8,24.8,8,1,4,22,164,2,24,37,426,246,0,77,12.5,0.8,0.3,3.2,57.7
丸山祥二,豊田合成トレフェルサ,18,34,58,31,7,53.4,41.4,0,0,0,7,109,6,10,35,2,1,0,44,,0.9,0.2,11.2,50.0
二木健太,サントリーサンバーズ,14,42,26,15,1,57.7,53.8,0,0,0,8,68,2,8,18,2,2,0,25,,0.4,0.2,6.6,100.0
五十嵐元,大分三好ヴァイセアドラー,9,25,0,0,0,,,0,0,0,0,17,1,3,5,17,9,0,1,,0.0,0.0,8.8,52.9
井上俊輔,JTサンダーズ,19,39,17,11,0,64.7,64.7,0,0,0,14,96,2,21,25,1,0,0,27,,0.3,0.4,3.1,0.0
井上崇昭,豊田合成トレフェルサ,8,59,228,98,24,43.0,32.5,61,27,11,21,109,4,19,29,81,39,0,123,44.3,1.7,0.4,6.0,48.1
井上裕介,堺ブレイザーズ,2,60,0,0,0,,,0,0,0,0,0,0,0,0,242,158,0,0,,0.0,0.0,,65.3
今村駿,堺ブレイザーズ,19,72,17,10,1,58.8,52.9,0,0,0,12,227,5,21,78,3,0,0,27,,0.1,0.2,8.5,0.0
今田祐介,東レアローズ,14,48,156,60,8,38.5,33.3,34,11,4,8,120,1,18,37,53,21,0,69,32.4,1.2,0.2,4.8,39.6
伊東勇樹,パナソニックパンサーズ,4,19,51,22,5,43.1,33.3,6,4,1,0,24,0,5,10,15,2,0,22,66.7,1.2,0.0,5.2,13.3
佐別當賢治,サントリーサンバーズ,15,32,0,0,0,,,0,0,0,0,0,0,0,0,197,127,0,0,,0.0,0.0,,64.5
佐藤和哉,豊田合成トレフェルサ,17,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
八子大輔,JTサンダーズ,7,36,268,118,19,44.0,36.9,58,29,7,8,129,9,30,47,105,56,0,135,50.0,3.3,0.2,10.3,53.3
内山正平,豊田合成トレフェルサ,4,75,19,16,0,84.2,84.2,1,1,0,16,203,1,8,52,4,0,0,33,100.0,0.2,0.2,5.9,0.0
内藤和也,堺ブレイザーズ,5,71,25,12,3,48.0,36.0,0,0,0,7,127,4,18,43,1,0,0,23,,0.2,0.1,8.1,0.0
冨士田裕大,サントリーサンバーズ,10,35,49,24,5,49.0,38.8,0,0,0,5,91,1,5,32,6,5,0,30,,0.7,0.1,8.5,83.3
前田和樹,FC東京,28,80,397,177,30,44.6,37.0,42,22,3,17,252,14,82,64,624,379,0,208,52.4,2.2,0.2,3.8,60.7
前田徹也,大分三好ヴァイセアドラー,6,18,0,0,0,,,0,0,0,0,21,0,10,4,4,1,0,0,,0.0,0.0,-7.1,25.0
加藤伊織,豊田合成トレフェルサ,16,7,1,1,0,100.0,100.0,0,0,0,1,0,0,0,0,0,0,0,2,,0.1,0.1,,
加賀龍哉,FC東京,14,81,176,95,14,54.0,46.0,0,0,0,48,296,7,21,101,4,3,0,150,,1.2,0.6,9.1,75.0
勝野裕士,東レアローズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
北島武,堺ブレイザーズ,4,88,455,197,38,43.3,34.9,57,25,11,26,391,14,83,109,670,411,0,237,43.9,2.2,0.3,5.2,61.3
古田史郎,東レアローズ,3,7,2,1,0,50.0,50.0,0,0,0,0,6,0,4,0,0,0,0,1,,0.1,0.0,-16.7,
古賀幸一郎,豊田合成トレフェルサ,7,83,0,0,0,,,0,0,0,0,0,0,0,0,356,275,0,0,,0.0,0.0,,77.2
吉田政俊,大分三好ヴァイセアドラー,4,36,2,0,1,0.0,-50.0,2,0,1,0,44,1,12,14,0,0,0,1,0.0,0.0,0.0,3.4,
名田篤史,堺ブレイザーズ,9,3,10,2,3,20.0,-10.0,1,0,1,0,5,0,2,1,11,7,0,2,0.0,0.7,0.0,-5.0,63.6
國近公太,JTサンダーズ,13,82,328,143,28,43.6,35.1,51,20,7,22,310,8,29,86,822,544,0,173,39.2,1.7,0.3,7.2,66.2
土屋雄太,FC東京,13,5,0,0,0,,,0,0,0,0,5,0,0,1,4,2,0,0,,0.0,0.0,5.0,50.0
坂本雄一郎,サントリーサンバーズ,3,61,89,43,5,48.3,42.7,0,0,0,18,145,4,12,59,1,0,0,65,,0.7,0.3,10.9,0.0
坂梨朋彦,堺ブレイザーズ,14,30,0,0,0,,,0,0,0,0,0,0,0,0,157,96,0,0,,0.0,0.0,,61.1
塚崎祐平,JTサンダーズ,16,20,80,41,7,51.2,42.5,12,8,1,4,45,0,7,12,33,17,0,45,66.7,2.0,0.2,2.8,51.5
大上正裕,JTサンダーズ,21,1,0,0,0,,,0,0,0,0,0,0,0,0,10,7,0,0,,0.0,0.0,,70.0
大庭健裕,FC東京,8,28,24,12,2,50.0,41.7,0,0,0,4,32,0,2,10,0,0,0,16,,0.4,0.1,6.2,
大竹貴久,パナソニックパンサーズ,16,35,0,0,0,,,0,0,0,3,57,0,1,15,1,0,0,3,,0.0,0.1,6.1,0.0
大道大輔,堺ブレイザーズ,18,48,30,14,1,46.7,43.3,0,0,0,4,32,0,2,6,4,1,0,18,,0.3,0.1,3.1,25.0
宇佐美大輔,パナソニックパンサーズ,2,82,31,24,1,77.4,74.2,0,0,0,20,255,9,53,85,4,1,0,53,,0.3,0.2,6.7,25.0
安田将利,大分三好ヴァイセアドラー,16,15,2,0,0,0.0,0.0,1,0,0,2,20,0,2,4,0,0,0,2,0.0,0.0,0.1,2.5,
宮下雅寛,JTサンダーズ,1,50,124,68,9,54.8,47.6,0,0,0,19,140,7,32,34,0,0,0,94,,1.4,0.4,5.4,
富松崇彰,東レアローズ,1,74,179,111,15,62.0,53.6,1,0,0,64,207,6,50,55,4,1,0,181,0.0,1.5,0.9,3.5,25.0
小川旭,JTサンダーズ,4,5,19,7,2,36.8,26.3,4,2,0,2,10,0,2,5,7,1,0,9,50.0,1.4,0.4,7.5,14.3
小川貴史,大分三好ヴァイセアドラー,1,50,75,24,9,32.0,20.0,0,0,0,12,64,2,13,6,2,1,0,38,,0.5,0.2,0.4,50.0
小糸敬夫,パナソニックパンサーズ,14,36,0,0,0,,,0,0,0,0,43,1,5,6,20,9,0,1,,0.0,0.0,2.9,45.0
小西健太,パナソニックパンサーズ,10,18,28,14,1,50.0,46.4,0,0,0,7,50,2,7,9,1,1,0,23,,0.8,0.4,5.0,100.0
山内隆宏,FC東京,6,50,4,3,0,75.0,75.0,0,0,0,7,71,4,4,24,2,0,0,14,,0.1,0.1,12.7,0.0
山岡祐也,FC東京,10,80,20,10,0,50.0,50.0,0,0,0,8,227,5,5,54,3,0,0,23,,0.1,0.1,7.6,0.0
山本拓矢,パナソニックパンサーズ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山本洋平,FC東京,23,36,0,0,0,,,0,0,0,0,0,0,0,0,84,55,0,0,,0.0,0.0,,65.5
山本隆弘,パナソニックパンサーズ,5,62,89,39,7,43.8,36.0,15,5,3,11,82,1,15,29,10,8,0,51,33.3,0.6,0.2,5.5,80.0
山本雄史,FC東京,18,45,105,56,3,53.3,50.5,0,0,0,30,131,3,13,39,5,3,0,89,,1.2,0.7,7.3,60.0
山村宏太,サントリーサンバーズ,1,67,151,90,6,59.6,55.6,0,0,0,37,208,8,14,63,5,4,0,135,,1.3,0.6,9.7,80.0
山添信也,パナソニックパンサーズ,3,23,53,34,2,64.2,60.4,0,0,0,7,79,0,6,21,2,1,0,41,,1.5,0.3,4.7,50.0
