試合日,月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,1,,山村宏太,4,■,■,■,■,nan,8,4,0,50.0,50.0,1.00,0,0,0,-,4,1.00,14,0,2,3,5.4,0,0,0,-,8
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,2,,鈴木寛史,4,■,■,■,■,nan,8,6,0,75.0,75.0,1.50,0,0,0,-,1,0.25,16,1,0,2,8.1,0,0,0,-,8
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,5,,柴小屋康行,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,6,,岡本祥吾,2,nan,nan,□,■,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,1,5.0,1,1,0,100.0,0
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,7,,エバンドログエッラ,4,■,■,■,■,nan,53,29,4,54.7,47.2,7.25,29,18,2,62.1,3,0.75,21,5,6,2,24.3,0,0,0,-,37
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,8,,金子隆行,4,■,■,■,■,nan,8,2,0,25.0,25.0,0.50,0,0,0,-,1,0.25,14,0,1,2,3.6,31,21,0,67.7,3
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,9,,阿部裕太,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,7,0,0,0,0.0,0,0,0,-,1
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,11,L,鶴田大樹,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,15,0,65.2,0
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,12,,塩田達也,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,13,,柳田将洋,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,14,,椿山竜介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,19,,栗山雅史,4,■,■,■,■,nan,25,14,2,56.0,48.0,3.50,3,2,0,66.7,1,0.25,16,1,3,6,15.6,21,10,0,47.6,16
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,20,,米山達也,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,1,0,16.0,0,0,0,-,1
2015-03-28,03,サントリーサンバーズ,豊田合成トレフェルサ,21,L,松崎廣光,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,1,,山田脩造,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,2,,山近哲,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,4,,内山正平,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,2,0.50,10,0,1,1,2.5,0,0,0,-,2
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,5,,前田一誠,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,6,,近裕崇,4,■,■,■,■,nan,17,8,1,47.1,41.2,2.00,0,0,0,-,0,-,18,0,3,3,4.2,0,0,0,-,8
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,7,,白岩直也,4,■,■,■,■,nan,11,4,1,36.4,27.3,1.00,0,0,0,-,1,0.25,15,1,3,3,11.7,31,21,0,67.7,6
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,8,,井上崇昭,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,10,L,古賀幸一郎,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,31,27,0,87.1,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,12,,高松卓矢,4,■,■,■,■,nan,22,12,1,54.5,50.0,3.00,1,0,0,0.0,2,0.50,15,0,4,4,6.7,18,12,0,66.7,14
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,13,,岡本秀明,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,15,,オムルチェンイゴール,4,■,■,■,■,nan,56,31,3,55.4,50.0,7.75,23,13,3,56.5,3,0.75,20,2,5,11,21.7,0,0,0,-,36
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,16,L,黒澤雄介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,19,,古賀太一郎,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-03-28,03,豊田合成トレフェルサ,サントリーサンバーズ,22,,傳田亮太,4,■,■,■,■,nan,11,5,1,45.5,36.4,1.25,0,0,0,-,1,0.25,16,1,2,4,12.5,0,0,0,-,7
