名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ウォレスマルティンス,01,堺ブレイザーズ,18,27,272,137,23,50.4,41.9,125,61,15,7,110,10,25,34,0,0,0,154,48.8,5.1,0.3,11.1,
ウォレスマルティンス,10,堺ブレイザーズ,18,12,138,72,4,52.2,49.3,64,36,1,4,46,1,10,11,1,1,0,77,56.2,6.0,0.3,2.7,100.0
ウォレスマルティンス,11,堺ブレイザーズ,18,27,334,166,23,49.7,42.8,164,83,16,11,103,9,19,35,3,1,0,186,50.6,6.1,0.4,12.6,33.3
ウォレスマルティンス,12,堺ブレイザーズ,18,15,179,85,17,47.5,38.0,88,43,10,6,63,10,13,19,1,1,0,101,48.9,5.7,0.4,18.3,100.0
エスコバルヤドリアン,01,サントリーサンバーズ,4,29,292,155,36,53.1,40.8,146,84,13,14,114,14,30,39,6,1,1,183,57.5,5.3,0.5,14.3,25.0
エスコバルヤドリアン,10,サントリーサンバーズ,4,13,137,59,12,43.1,34.3,58,25,7,5,52,5,8,16,0,0,0,69,43.1,4.5,0.4,13.5,
エスコバルヤドリアン,11,サントリーサンバーズ,4,26,284,133,23,46.8,38.7,117,53,12,9,105,14,22,37,1,1,0,156,45.3,5.1,0.3,16.9,100.0
エスコバルヤドリアン,12,サントリーサンバーズ,4,15,135,66,12,48.9,40.0,60,30,7,4,51,3,13,16,0,0,0,73,50.0,4.4,0.3,7.4,
エドガートーマス,01,JTサンダーズ,14,29,353,209,15,59.2,55.0,158,100,10,12,116,21,25,39,0,0,0,242,63.3,7.2,0.4,21.1,
エドガートーマス,10,JTサンダーズ,14,13,167,93,8,55.7,50.9,65,36,2,10,47,5,6,17,0,0,0,108,55.4,7.2,0.8,16.5,
エドガートーマス,11,JTサンダーズ,14,23,310,163,18,52.6,46.8,126,82,9,10,100,9,22,33,2,1,0,182,65.1,7.1,0.4,11.8,50.0
エドガートーマス,12,JTサンダーズ,14,17,201,103,10,51.2,46.3,86,52,4,8,67,2,15,22,0,0,0,113,60.5,6.1,0.5,5.6,
オムルチェンイゴール,01,豊田合成トレフェルサ,15,23,281,154,14,54.8,49.8,139,71,11,5,105,9,19,42,2,0,0,168,51.1,6.7,0.2,14.0,0.0
オムルチェンイゴール,10,豊田合成トレフェルサ,15,11,172,94,10,54.7,48.8,75,49,5,7,49,6,8,20,1,0,0,107,65.3,8.5,0.6,18.4,0.0
オムルチェンイゴール,11,豊田合成トレフェルサ,15,17,219,121,8,55.3,51.6,108,55,6,2,75,15,16,26,0,0,0,138,50.9,7.1,0.1,23.3,
