大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,大分三好ヴァイセアドラー,6,4,0,0,0,-,,0,0,0,-,,-,0,-,4,0,0,4,0,-25.0,0,0,0,-,0,0,0,0
レギュラーラウンド,大分三好ヴァイセアドラー,6,4,0,0,0,-,,0,0,0,-,,-,0,-,4,0,0,4,0,-25.0,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,大分三好ヴァイセアドラー,15,18,0,0,0,-,,0,0,0,-,,-,0,-,22,0,0,10,4,-6.8,0,0,0,-,0,0,0,0
レギュラーラウンド,大分三好ヴァイセアドラー,15,18,0,0,0,-,,0,0,0,-,,-,0,-,22,0,0,10,4,-6.8,0,0,0,-,0,0,0,0
Ｖ・チャレンジリーグⅠ男子 2017/18,大分三好ヴァイセアドラー,21,60,0,0,0,-,,0,0,0,-,,-,0,-,79,2,3,16,26,9.5,0,0,0,-,0,0,5,5
レギュラーラウンド,大分三好ヴァイセアドラー,21,60,0,0,0,-,,0,0,0,-,,-,0,-,79,2,3,16,26,9.5,0,0,0,-,0,0,5,5
Ｖ・チャレンジリーグⅠ男子 2015/16,大分三好ヴァイセアドラー,1,1,0,0,0,-,,0,0,0,-,,-,0,-,1,0,0,1,0,0.0,0,0,0,-,0,0,0,0
レギュラーラウンド,大分三好ヴァイセアドラー,1,1,0,0,0,-,,0,0,0,-,,-,0,-,1,0,0,1,0,0.0,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,43,83,0,0,0,-,,0,0,0,-,,-,0,-,106,2,3,31,30,4.5,0,0,0,-,0,0,5,5
通算,,43,83,0,0,0,-,,0,0,0,-,,-,0,-,106,2,3,31,30,4.5,0,0,0,-,0,0,5,5
