大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,ジェイテクトSTINGS,29,109,1040,585,86,56.2,47.98076923076923,437,243,48,55.6,44.62242562929062,5.37,50,0.46,475,18,61,131,205,20.5,7,2,1,35.7,585,50,79,714
レギュラーラウンド,ジェイテクトSTINGS,27,100,933,526,78,56.4,48.01714898177921,392,214,45,54.6,43.11224489795919,5.26,49,0.49,434,16,54,125,189,19.8,7,2,1,35.7,526,49,70,645
セミファイナル（３位決定戦）,ジェイテクトSTINGS,1,4,51,28,2,54.9,50.98039215686274,20,12,1,60.0,55.00000000000001,7.0,0,-,19,0,5,2,7,32.9,0,0,0,-,28,0,5,33
ファイナル,ジェイテクトSTINGS,1,5,56,31,6,55.4,44.642857142857146,25,17,2,68.0,60.0,6.2,1,0.20,22,2,2,4,9,23.9,0,0,0,-,31,1,4,36
V.LEAGUE DIVISION1 MEN 2018-19,ジェイテクトSTINGS,27,97,937,475,71,50.7,43.11632870864461,379,192,43,50.7,39.31398416886543,4.9,50,0.52,399,18,27,121,136,12.2,5,1,0,20.0,475,50,45,570
レギュラーラウンド,ジェイテクトSTINGS,27,97,937,475,71,50.7,43.11632870864461,379,192,43,50.7,39.31398416886543,4.9,50,0.52,399,18,27,121,136,12.2,5,1,0,20.0,475,50,45,570
Ｖ・プレミアリーグ男子 2017/18,ジェイテクトSTINGS,12,45,431,224,39,52.0,42.92343387470998,177,98,14,55.4,47.45762711864407,4.98,12,0.27,160,7,6,30,71,14.5,7,2,2,42.9,224,12,13,249
レギュラーラウンド,ジェイテクトSTINGS,7,26,240,134,19,55.8,47.91666666666667,104,59,10,56.7,47.11538461538461,5.15,5,0.19,90,4,5,16,40,16.7,3,1,1,50.0,134,5,9,148
ファイナル６,ジェイテクトSTINGS,5,19,191,90,20,47.1,36.64921465968586,73,39,4,53.4,47.94520547945205,4.74,7,0.37,70,3,1,14,31,11.8,4,1,1,37.5,90,7,4,101
レギュラーシーズン通算,,61,223,2110,1135,168,53.8,45.829383886255926,875,465,98,53.1,41.94285714285714,5.09,104,0.47,923,38,86,262,365,16.2,15,4,2,33.3,1135,104,124,1363
通算,,68,251,2408,1284,196,53.3,45.182724252491695,993,533,105,53.7,43.101711983887206,5.12,112,0.45,1034,43,94,282,412,16.4,19,5,3,34.2,1284,112,137,1533
