大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,サントリーサンバーズ,30,60,2,0,0,0.0,0.0,0,0,0,-,,-,0,-,7,0,2,4,0,14.3,29,10,9,50.0,0,0,2,2
レギュラーラウンド,サントリーサンバーズ,27,59,2,0,0,0.0,0.0,0,0,0,-,,-,0,-,7,0,2,4,0,14.3,29,10,9,50.0,0,0,2,2
GAME1（5位決定戦）,サントリーサンバーズ,1,1,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
GAME2（4位決定戦）,サントリーサンバーズ,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
セミファイナル（３位決定戦）,サントリーサンバーズ,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,サントリーサンバーズ,30,59,4,2,0,50.0,50.0,1,0,0,0.0,0.0,0.03,0,-,9,0,0,4,3,-2.8,106,38,33,51.4,2,0,0,2
レギュラーラウンド,サントリーサンバーズ,25,52,0,0,0,-,,0,0,0,-,,-,0,-,5,0,0,2,2,0.0,91,32,29,51.1,0,0,0,0
ファイナル６,サントリーサンバーズ,5,7,4,2,0,50.0,50.0,1,0,0,0.0,0.0,0.29,0,-,4,0,0,2,1,-6.2,15,6,4,53.3,2,0,0,2
Ｖ・プレミアリーグ男子 2017/18,サントリーサンバーズ,6,17,1,0,0,0.0,0.0,1,0,0,0.0,0.0,-,0,-,22,0,0,7,11,4.5,14,5,5,53.6,0,0,0,0
レギュラーラウンド,サントリーサンバーズ,2,6,1,0,0,0.0,0.0,1,0,0,0.0,0.0,-,0,-,5,0,0,0,4,20.0,5,2,2,60.0,0,0,0,0
ファイナル６,サントリーサンバーズ,4,11,0,0,0,-,,0,0,0,-,,-,0,-,17,0,0,7,7,0.0,9,3,3,50.0,0,0,0,0
レギュラーシーズン通算,,54,117,3,0,0,0.0,0.0,1,0,0,0.0,0.0,-,0,-,17,0,2,6,6,11.8,125,44,40,51.2,0,0,2,2
通算,,66,136,7,2,0,28.6,28.57142857142857,2,0,0,0.0,0.0,0.01,0,-,38,0,2,15,14,4.6,149,53,47,51.3,2,0,2,4
