大会,チーム,試合数,セット数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,バックアタック効果率,セット平均,ブロック得点,セット平均.1,サーブ打数,ノータッチ,エース,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,ジェイテクトSTINGS,29,47,94,55,2,58.5,56.38297872340425,0,0,0,-,,1.17,21,0.45,170,1,8,25,30,6.0,8,3,3,56.2,55,21,9,85
レギュラーラウンド,ジェイテクトSTINGS,27,47,94,55,2,58.5,56.38297872340425,0,0,0,-,,1.17,21,0.45,170,1,8,25,30,6.0,8,3,3,56.2,55,21,9,85
セミファイナル（３位決定戦）,ジェイテクトSTINGS,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
ファイナル,ジェイテクトSTINGS,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
V.LEAGUE DIVISION1 MEN 2018-19,ジェイテクトSTINGS,25,74,209,114,12,54.5,48.803827751196174,2,2,0,100.0,100.0,1.54,30,0.41,205,3,4,28,33,4.0,15,9,3,70.0,114,30,7,151
レギュラーラウンド,ジェイテクトSTINGS,25,74,209,114,12,54.5,48.803827751196174,2,2,0,100.0,100.0,1.54,30,0.41,205,3,4,28,33,4.0,15,9,3,70.0,114,30,7,151
Ｖ・プレミアリーグ男子 2017/18,ジェイテクトSTINGS,26,85,209,104,10,49.8,44.97607655502392,0,0,0,-,,1.22,41,0.48,280,7,5,46,53,4.9,18,5,8,50.0,104,41,12,157
レギュラーラウンド,ジェイテクトSTINGS,21,66,171,89,7,52.0,47.953216374269005,0,0,0,-,,1.35,33,0.50,223,6,4,36,42,5.2,13,3,6,46.2,89,33,10,132
ファイナル６,ジェイテクトSTINGS,5,19,38,15,3,39.5,31.57894736842105,0,0,0,-,,0.79,8,0.42,57,1,1,10,11,3.9,5,2,2,60.0,15,8,2,25
天皇杯全日本選手権大会,,1,4,12,6,1,50.0,41.66666666666667,0,0,0,-,,1.50,3,0.75,12,0,0,2,0,-4.2,0,0,0,-,6,3,0,9
レギュラーラウンド,,1,4,12,6,1,50.0,41.66666666666667,0,0,0,-,,1.50,3,0.75,12,0,0,2,0,-4.2,0,0,0,-,6,3,0,9
Ｖ・プレミアリーグ男子 2016/17,ジェイテクトSTINGS,25,44,84,51,3,60.7,57.14285714285714,0,0,0,-,,1.16,12,0.27,111,0,3,7,34,9.8,4,3,0,75.0,51,12,3,66
レギュラーラウンド,ジェイテクトSTINGS,17,21,22,11,2,50.0,40.909090909090914,0,0,0,-,,0.52,5,0.24,35,0,1,2,10,9.4,1,1,0,100.0,11,5,1,17
ファイナル６,ジェイテクトSTINGS,5,16,46,30,0,65.2,65.21739130434783,0,0,0,-,,1.88,4,0.25,48,0,1,5,12,7.9,2,1,0,50.0,30,4,1,35
ファイナル３,ジェイテクトSTINGS,3,7,16,10,1,62.5,56.25,0,0,0,-,,1.43,3,0.43,28,0,1,0,12,13.6,1,1,0,100.0,10,3,1,14
天皇杯全日本選手権大会,,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,1,0,0,0,0,-,,0,0,0,-,,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,90,208,496,269,23,54.2,49.596774193548384,2,2,0,100.0,100.0,1.29,89,0.43,633,10,17,91,115,5.2,37,16,12,59.5,269,89,27,385
通算,,107,254,608,330,28,54.3,49.67105263157895,2,2,0,100.0,100.0,1.30,107,0.42,778,11,20,108,150,5.3,45,20,14,60.0,330,107,31,468
