試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-08,ウルフドッグス名古屋,1,,山田脩造,2,nan,□,□,nan,nan,1,1,0,1.0,1.0,0.50,0,0,0,-,0,-,1,0,1,0,-25.0,1,1,0,100.0
2019-12-08,ウルフドッグス名古屋,2,,山近哲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-08,ウルフドッグス名古屋,4,,内山正平,5,■,■,■,■,■,1,1,0,1.0,1.0,0.20,0,0,0,-,2,0.40,10,0,0,3,7.5,0,0,0,-
2019-12-08,ウルフドッグス名古屋,5,,前田一誠,2,nan,nan,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-
2019-12-08,ウルフドッグス名古屋,7,,白岩直也,3,■,■,■,nan,nan,16,4,1,0.25,0.1875,1.33,0,0,0,-,1,0.33,10,0,1,2,2.5,22,9,6,54.5
2019-12-08,ウルフドッグス名古屋,10,L,古賀幸一郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-08,ウルフドッグス名古屋,11,,傳田亮太,5,■,■,■,■,■,6,4,0,0.6666666666666666,0.6666666666666666,0.80,0,0,0,-,3,0.60,13,1,2,4,11.5,0,0,0,-
2019-12-08,ウルフドッグス名古屋,12,,高松卓矢,5,■,■,■,■,■,40,19,0,0.475,0.475,3.80,8,2,0,25.0,0,-,13,0,3,3,0.0,22,9,2,45.5
2019-12-08,ウルフドッグス名古屋,14,,椿山竜介,5,■,■,■,□,□,21,13,4,0.6190476190476191,0.42857142857142855,2.60,6,4,1,66.7,0,-,11,0,2,4,4.5,0,0,0,-
2019-12-08,ウルフドッグス名古屋,16,,ガスパリーニミティア,5,□,□,□,■,■,25,11,2,0.44,0.36,2.20,8,4,0,50.0,0,-,10,2,3,4,22.5,0,0,0,-
2019-12-08,ウルフドッグス名古屋,21,,永露元稀,3,nan,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,5,0,0,3,15.0,0,0,0,-
2019-12-08,ウルフドッグス名古屋,22,,高梨健太,3,nan,nan,□,■,■,21,6,3,0.2857142857142857,0.14285714285714285,2.00,3,2,0,66.7,0,-,7,0,0,2,7.1,17,5,2,35.3
2019-12-08,ウルフドッグス名古屋,24,L,小川智大,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,30,19,1,65.0
2019-12-08,ウルフドッグス名古屋,25,,劉鴻杰,5,■,■,■,■,■,14,5,0,0.35714285714285715,0.35714285714285715,1.00,0,0,0,-,2,0.40,14,0,4,5,1.8,0,0,0,-
2019-12-08,ウルフドッグス名古屋,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,145,64,10,0.4413793103448276,0.3724137931034483,12.80,25,12,1,48.0,8,1.60,98,3,16,32,7.1,92,43,11,52.7
