試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,1,,山田脩造,4,■,■,■,■,nan,27,13,0,48.1,48.1,3.25,7,2,0,28.6,0,-,19,4,4,5,22.4,49,15,18,49.0,17
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,2,,山近哲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,4,,内山正平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,5,,前田一誠,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,10,0,1,1,0.0,0,0,0,-,1
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,6,,近裕崇,3,■,■,■,nan,nan,4,1,1,25.0,0.0,0.33,0,0,0,-,0,-,5,0,1,1,0.0,1,0,1,50.0,1
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,7,,白岩直也,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,2,0,100.0,0
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,10,L,古賀幸一郎,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,5,8,47.4,0
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,11,,傳田亮太,4,■,■,■,■,nan,14,7,1,50.0,42.9,1.75,0,0,0,-,1,0.25,11,0,1,6,11.4,0,0,0,-,8
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,12,,高松卓矢,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,14,,椿山竜介,4,□,□,■,□,nan,14,8,3,57.1,35.7,2.00,7,4,2,57.1,0,-,5,0,1,0,-5.0,1,1,0,100.0,8
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,16,,ガスパリーニミティア,4,■,■,□,■,nan,12,4,3,33.3,8.3,1.00,6,1,2,16.7,1,0.25,16,2,2,8,21.9,0,0,0,-,7
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,22,,高梨健太,4,■,■,■,■,nan,37,19,2,51.4,45.9,4.75,9,7,1,77.8,4,1.00,14,0,4,5,1.8,21,6,7,45.2,23
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,24,L,小川智大,1,nan,nan,nan,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0,0
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,25,,劉鴻杰,4,□,□,□,■,nan,7,1,2,14.3,-14.3,0.25,0,0,0,-,1,0.25,5,1,2,0,10.0,0,0,0,-,3
2020-02-02,ウルフドッグス名古屋,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,115,53,12,46.1,35.7,13.25,29,14,5,48.3,8,2.00,85,7,16,26,11.2,94,29,34,48.9,68
