試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-29,ウルフドッグス名古屋,1,,山田脩造,3,■,■,■,nan,nan,9,4,1,44.4,33.3,1.33,0,0,0,-,2,0.67,8,1,4,1,3.1,9,2,2,33.3,,,,,,,,
2020-11-29,ウルフドッグス名古屋,2,,山近哲,3,■,■,■,nan,nan,5,3,0,60.0,60.0,1.00,0,0,0,-,2,0.67,8,0,1,3,6.2,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,5,,前田一誠,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,18,0,2,2,0.0,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,6,,近裕崇,3,■,■,■,nan,nan,10,5,0,50.0,50.0,1.67,0,0,0,-,2,0.67,16,0,1,8,10.9,4,0,2,25.0,,,,,,,,
2020-11-29,ウルフドッグス名古屋,7,,白岩直也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,9,,ユンボンウ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,11,,傳田亮太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,14,,椿山竜介,3,■,■,■,nan,nan,30,17,0,56.7,56.7,5.67,2,1,0,50.0,0,-,7,0,1,4,10.7,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,20,L,川口太一,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,21,,永露元稀,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,6,1,0,2,25.0,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,22,,高梨健太,3,■,■,■,nan,nan,21,14,1,66.7,61.9,4.67,3,2,0,66.7,1,0.33,9,1,2,1,8.3,19,10,2,57.9,,,,,,,,
2020-11-29,ウルフドッグス名古屋,23,,勝岡将斗,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,24,L,小川智大,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,10,2,73.3,,,,,,,,
2020-11-29,ウルフドッグス名古屋,26,,山崎彰都,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-29,ウルフドッグス名古屋,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,75,43,2,57.3,54.7,14.33,5,3,0,60.0,7,2.33,73,3,11,22,7.9,47,22,8,55.3,75,33,8,44.0,2,0.67,8.2,50.8
