大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 MEN,ウルフドッグス名古屋,27,43,216,100,13,46.3,36,17,2,47.2,2.33,6,0.14,134,0,6,21,27,5.6,242,96,70,54.1,100,6,6,112
レギュラーラウンド,ウルフドッグス名古屋,27,43,216,100,13,46.3,36,17,2,47.2,2.33,6,0.14,134,0,6,21,27,5.6,242,96,70,54.1,100,6,6,112
V.LEAGUE DIVISION1 MEN 2018-19,豊田合成トレフェルサ,26,44,199,92,15,46.2,42,23,3,54.8,2.09,7,0.16,108,1,1,18,26,3.7,124,48,31,51.2,92,7,2,101
レギュラーラウンド,豊田合成トレフェルサ,24,37,183,86,13,47.0,37,20,3,54.1,2.32,6,0.16,100,1,1,18,25,3.8,103,40,25,51.0,86,6,2,94
ファイナル６,豊田合成トレフェルサ,2,7,16,6,2,37.5,5,3,0,60.0,0.86,1,0.14,8,0,0,0,1,3.1,21,8,6,52.4,6,1,0,7
Ｖ・プレミアリーグ男子 2017/18,豊田合成トレフェルサ,31,81,373,167,37,44.8,60,30,9,50.0,2.06,9,0.11,187,3,7,40,47,6.3,222,90,56,53.2,167,9,10,186
レギュラーラウンド,豊田合成トレフェルサ,21,61,311,141,31,45.3,54,26,8,48.1,2.31,5,0.08,160,2,6,34,40,5.9,183,79,46,55.7,141,5,8,154
ファイナル６,豊田合成トレフェルサ,5,8,16,5,2,31.2,0,0,0,-,0.62,1,0.12,9,1,1,2,1,19.4,16,4,5,40.6,5,1,2,8
ファイナル３,豊田合成トレフェルサ,3,4,5,4,0,80.0,0,0,0,-,1.00,0,-,2,0,0,1,0,-12.5,2,0,0,0.0,4,0,0,4
ファイナル,豊田合成トレフェルサ,2,8,41,17,4,41.5,6,4,1,66.7,2.12,3,0.38,16,0,0,3,6,4.7,21,7,5,45.2,17,3,0,20
天皇杯全日本選手権大会,,2,2,3,1,0,33.3,0,0,0,-,0.50,0,-,3,0,0,2,0,-16.7,6,2,1,41.7,1,0,0,1
レギュラーラウンド,,2,2,3,1,0,33.3,0,0,0,-,0.50,0,-,3,0,0,2,0,-16.7,6,2,1,41.7,1,0,0,1
Ｖ・プレミアリーグ男子 2016/17,豊田合成トレフェルサ,31,81,281,114,30,40.6,2,0,0,0.0,1.41,8,0.10,289,4,7,62,107,12.6,601,298,0,49.6,114,8,11,133
レギュラーラウンド,豊田合成トレフェルサ,21,53,192,78,15,40.6,2,0,0,0.0,1.47,3,0.06,183,2,2,42,66,11.0,387,200,0,51.7,78,3,4,85
ファイナル６,豊田合成トレフェルサ,5,16,40,18,7,45.0,0,0,0,-,1.12,2,0.12,66,2,4,10,30,19.2,124,57,0,46.0,18,2,6,26
ファイナル３,豊田合成トレフェルサ,3,5,21,7,2,33.3,0,0,0,-,1.40,1,0.20,20,0,1,5,9,15.2,36,19,0,52.8,7,1,1,9
ファイナル,豊田合成トレフェルサ,2,7,28,11,6,39.3,0,0,0,-,1.57,2,0.29,20,0,0,5,2,2.5,54,22,0,40.7,11,2,0,13
天皇杯全日本選手権大会,,2,9,31,12,0,38.7,0,0,0,-,1.33,3,0.33,41,1,1,9,14,12.9,63,34,0,54.0,12,3,2,17
レギュラーラウンド,,2,9,31,12,0,38.7,0,0,0,-,1.33,3,0.33,41,1,1,9,14,12.9,63,34,0,54.0,12,3,2,17
Ｖ・プレミアリーグ男子 2015/16,豊田合成トレフェルサ,27,41,101,40,6,39.6,2,0,0,0.0,0.98,5,0.12,53,0,0,10,19,9.0,62,38,0,61.3,40,5,0,45
レギュラーラウンド,豊田合成トレフェルサ,21,33,83,32,5,38.6,1,0,0,0.0,0.97,4,0.12,44,0,0,9,14,8.0,52,31,0,59.6,32,4,0,36
ファイナル６,豊田合成トレフェルサ,5,6,13,6,1,46.2,1,0,0,0.0,1.00,0,-,6,0,0,1,3,12.5,6,5,0,83.3,6,0,0,6
ファイナル,豊田合成トレフェルサ,1,2,5,2,0,40.0,0,0,0,-,1.00,1,0.50,3,0,0,0,2,16.7,4,2,0,50.0,2,1,0,3
Ｖ・プレミアリーグ男子 2014/15,豊田合成トレフェルサ,14,21,93,43,4,46.2,26,15,2,57.7,2.05,3,0.14,36,1,1,14,7,9.9,12,6,0,50.0,43,3,2,48
レギュラーラウンド,豊田合成トレフェルサ,8,12,72,33,4,45.8,25,14,2,56.0,2.75,2,0.17,26,0,1,8,6,8.8,0,0,0,-,33,2,1,36
ファイナル６,豊田合成トレフェルサ,5,9,21,10,0,47.6,1,1,0,100.0,1.11,1,0.11,10,1,0,6,1,12.5,12,6,0,50.0,10,1,1,12
ファイナル３,豊田合成トレフェルサ,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,122,239,1057,470,81,44.5,155,77,15,49.7,1.97,26,0.11,647,5,16,132,178,5.0,967,446,141,53.4,470,26,21,517
通算,,160,322,1297,569,105,43.9,168,85,16,50.6,1.77,41,0.13,851,10,23,176,247,6.0,1332,612,158,51.9,569,41,33,643
