試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-02-01,1,,山田脩造,2,,,□,■,,5,3,1,0.6,0.4,1.50,2,1,1,50.0,0,-,5,1,1,2,25.0,8,5,2,75.0
2020-02-01,4,,内山正平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-01,5,,前田一誠,4,■,■,■,■,,1,1,0,1.0,1.0,0.25,0,0,0,-,0,-,14,1,0,3,12.5,1,0,0,0.0
2020-02-01,6,,近裕崇,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,3,25.0,0,0,0,-
2020-02-01,7,,白岩直也,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,0,1,25.0
2020-02-01,10,,古賀幸一郎,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
2020-02-01,11,,傳田亮太,4,■,■,■,■,,11,7,0,0.6363636363636364,0.6363636363636364,1.75,0,0,0,-,0,-,14,0,2,3,1.8,1,1,0,100.0
2020-02-01,12,,高松卓矢,3,■,■,■,,,28,9,0,0.32142857142857145,0.32142857142857145,3.00,1,1,0,100.0,0,-,7,0,2,0,-7.1,15,6,6,60.0
2020-02-01,14,,椿山竜介,1,,,,□,,14,10,2,0.7142857142857143,0.5714285714285714,10.00,6,5,0,83.3,0,-,3,0,1,0,-8.3,0,0,0,-
2020-02-01,16,,ガスパリーニミティア,4,■,■,■,■,,30,12,4,0.4,0.26666666666666666,3.00,11,2,3,18.2,2,0.50,12,1,1,5,16.7,0,0,0,-
2020-02-01,21,,永露元稀,2,,,□,□,,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-
2020-02-01,22,,高梨健太,4,■,■,■,■,,23,8,1,0.34782608695652173,0.30434782608695654,2.00,5,0,1,0.0,0,-,15,0,3,7,6.7,31,8,10,41.9
2020-02-01,24,L,小川智大,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,4,9,38.6
2020-02-01,25,,劉鴻杰,4,■,■,■,■,,5,4,0,0.8,0.8,1.00,0,0,0,-,1,0.25,10,0,3,2,-2.5,0,0,0,-
2020-02-01,チーム合計,チーム合計,チーム合計,4,,,,,,117,54,8,0.46153846153846156,0.39316239316239315,13.50,25,9,5,36.0,3,0.75,85,3,14,25,6.8,81,25,28,48.1
