試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-12-11,サントリーサンバーズ,東レアローズ,1,,山村宏太,4,■,□,■,■,nan,13,6,0,46.2,46.2,1.50,0,0,0,-,1,0.25,10,0,1,4,10.0,0,0,0,-,7
2004-12-11,サントリーサンバーズ,東レアローズ,2,,佐々木太一,2,■,■,nan,nan,nan,8,4,1,50.0,37.5,2.00,0,0,0,-,0,-,6,1,0,2,25.0,1,0,0,0.0,5
2004-12-11,サントリーサンバーズ,東レアローズ,3,,坂本雄一郎,4,□,■,■,■,nan,11,6,0,54.5,54.5,1.50,0,0,0,-,0,-,11,0,1,2,4.5,0,0,0,-,6
2004-12-11,サントリーサンバーズ,東レアローズ,4,,清水雅之,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-11,サントリーサンバーズ,東レアローズ,5,,上田剛史,1,□,nan,nan,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2004-12-11,サントリーサンバーズ,東レアローズ,6,,栗原圭介,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,0,-,15,0,0,4,6.7,0,0,0,-,1
2004-12-11,サントリーサンバーズ,東レアローズ,7,,越川優,4,■,■,■,■,nan,32,14,2,43.8,37.5,3.50,5,2,0,40.0,1,0.25,12,1,5,2,10.8,12,8,0,66.7,16
2004-12-11,サントリーサンバーズ,東レアローズ,10,,荻野正二,4,■,■,■,■,nan,17,6,2,35.3,23.5,1.50,1,0,1,0.0,1,0.25,17,0,1,5,7.4,50,40,0,80.0,7
2004-12-11,サントリーサンバーズ,東レアローズ,12,,木原丈裕,3,nan,□,□,□,nan,3,2,0,66.7,66.7,0.67,0,0,0,-,1,0.33,0,0,0,0,-,0,0,0,-,3
2004-12-11,サントリーサンバーズ,東レアローズ,13,,村上龍介,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0,0,-,0
2004-12-11,サントリーサンバーズ,東レアローズ,14,,モンテイロジョエル,4,■,■,■,■,nan,37,20,4,54.1,43.2,5.00,8,6,0,75.0,0,-,13,0,1,2,3.8,0,0,0,-,20
2004-12-11,サントリーサンバーズ,東レアローズ,20,L,花野裕祥,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,18,0,90.0,0
2004-12-11,サントリーサンバーズ,東レアローズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,124,60,9,48.4,41.1,15.00,14,8,1,57.1,4,1.00,86,2,10,21,8.2,83,66,0,79.5,66
