試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,1,,山村宏太,3,■,■,■,nan,nan,13,7,1,53.8,46.2,2.33,0,0,0,-,0,-,9,0,0,2,5.6,0,0,0,-,7
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,2,,鈴木寛史,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,3,,坂本雄一郎,3,■,■,■,nan,nan,9,6,0,66.7,66.7,2.00,0,0,0,-,4,1.33,14,1,1,5,14.6,2,2,0,100.0,11
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,4,,吉田譲,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,3,25.0,0,0,0,-,0
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,6,,栗原圭介,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,11,1,1,4,16.4,0,0,0,-,2
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,7,,越川優,3,■,■,■,nan,nan,34,15,4,44.1,32.4,5.00,11,5,2,45.5,1,0.33,11,0,4,2,4.5,6,5,0,83.3,16
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,9,,桑田鎮典,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,10,,荻野正二,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,11,L,津曲勝利,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,0,62.5,0
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,12,,木原丈裕,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,14,,二木健太,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,15,L,佐別當賢治,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,18,,杉山マルコス,3,■,■,■,nan,nan,18,7,3,38.9,22.2,2.33,3,1,0,33.3,1,0.33,13,0,4,2,3.8,16,13,0,81.2,8
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,20,,米山達也,3,■,■,■,nan,nan,21,12,1,57.1,52.4,4.00,5,2,0,40.0,0,-,22,6,4,6,31.4,22,14,0,63.6,18
2009-04-03,サントリーサンバーズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,96,48,9,50.0,40.6,16.00,19,8,2,42.1,6,2.00,83,8,14,24,15.7,62,44,0,71.0,62
