試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,1,L,鶴田大樹,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,8,2,50.0,0
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,2,,鈴木寛史,4,■,■,■,■,nan,10,5,0,50.0,50.0,1.25,0,0,0,-,1,0.25,8,0,1,0,-3.1,0,0,0,-,6
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,3,L,高橋賢,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,4,,エスコバルヤドリアン,4,■,■,■,■,nan,31,10,2,32.3,25.8,2.50,15,4,0,26.7,2,0.50,14,2,3,6,19.6,1,0,0,0.0,14
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,6,,岡本祥吾,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,9,,大宅真樹,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,1,0.25,11,0,4,4,0.0,0,0,0,-,2
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,10,,藤中謙也,4,■,■,■,□,nan,17,3,1,17.6,11.8,0.75,1,0,0,0.0,2,0.50,14,0,0,2,3.6,15,9,6,80.0,5
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,11,,秦耕介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,12,,塩田達也,3,nan,□,■,■,nan,7,5,0,71.4,71.4,1.67,0,0,0,-,0,-,6,0,2,1,-4.2,0,0,0,-,5
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,15,,喜入祥充,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,2,3,5.0,2,0,1,25.0,0
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,17,,星谷健太朗,2,■,■,nan,nan,nan,4,2,0,50.0,50.0,1.00,0,0,0,-,1,0.50,6,0,1,2,4.2,0,0,0,-,3
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,18,,小川猛,2,□,nan,□,nan,nan,5,3,0,60.0,60.0,1.50,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,3
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,19,,栗山雅史,4,■,■,■,■,nan,30,12,2,40.0,33.3,3.00,5,1,1,20.0,0,-,9,0,2,0,-5.6,34,9,14,47.1,12
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,20,,米山達也,1,nan,nan,nan,■,nan,5,1,0,20.0,20.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,8,4,1,56.2,1
2018-02-18,サントリーサンバーズ,豊田合成トレフェルサ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,110,42,5,38.2,33.6,10.50,21,5,1,23.8,7,1.75,75,2,15,19,4.0,78,30,24,53.8,51
