試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-02-02,1,L,鶴田大樹,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,8,8,54.5
2020-02-02,3,,小野遥輝,4,■,■,■,■,,11,9,0,0.8181818181818182,0.8181818181818182,2.25,0,0,0,-,4,1.00,17,1,2,8,14.7,0,0,0,-
2020-02-02,5,,松林憲太郎,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,6,,季道帥,4,■,■,■,■,,16,11,2,0.6875,0.5625,2.75,6,4,1,66.7,2,0.50,13,1,4,2,3.8,10,5,3,65.0
2020-02-02,9,,大宅真樹,4,■,■,■,■,,2,2,0,1.0,1.0,0.50,0,0,0,-,0,-,16,0,3,3,0.0,0,0,0,-
2020-02-02,10,,藤中謙也,4,■,■,■,■,,12,7,2,0.5833333333333334,0.4166666666666667,1.75,2,1,0,50.0,0,-,14,0,3,0,-5.4,28,9,7,44.6
2020-02-02,11,,秦耕介,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,12,,塩田達也,4,■,■,■,■,,5,4,0,0.8,0.8,1.00,0,0,0,-,1,0.25,16,2,1,6,20.3,0,0,0,-
2020-02-02,13,,ムセルスキードミトリー,4,■,■,■,■,,44,22,2,0.5,0.45454545454545453,5.50,20,13,0,65.0,3,0.75,10,0,6,0,-15.0,1,0,1,50.0
2020-02-02,14,,加藤久典,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,15,,喜入祥充,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,1,50.0
2020-02-02,19,,栗山雅史,2,,,□,□,,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-
2020-02-02,20,,西田寛基,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0,0,-
2020-02-02,21,,佐藤謙次,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-02-02,チーム合計,チーム合計,チーム合計,4,,,,,,90,55,6,0.6111111111111112,0.5444444444444444,13.75,28,18,1,64.3,10,2.50,92,4,21,19,3.8,62,22,20,51.6
