試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-14,1,L,鶴田大樹,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,12,3,71.1
2019-12-14,3,,小野遥輝,5,■,■,■,■,■,14,8,0,0.5714285714285714,0.5714285714285714,1.60,0,0,0,-,4,0.80,21,3,4,3,13.1,1,1,0,100.0
2019-12-14,7,,山本湧,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,9,,大宅真樹,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,1,0.20,16,0,3,4,1.6,0,0,0,-
2019-12-14,10,,藤中謙也,2,■,■,,,,9,1,1,0.1111111111111111,0.0,0.50,1,0,0,0.0,0,-,4,0,0,0,0.0,23,15,5,76.1
2019-12-14,11,,秦耕介,4,,□,■,■,■,6,4,1,0.6666666666666666,0.5,1.00,2,2,0,100.0,3,0.75,13,2,2,2,15.4,29,23,3,84.5
2019-12-14,12,,塩田達也,5,■,■,■,■,■,6,5,0,0.8333333333333334,0.8333333333333334,1.00,0,0,0,-,1,0.20,10,0,2,1,-2.5,1,0,0,0.0
2019-12-14,13,,ムセルスキードミトリー,5,■,■,■,■,■,56,31,7,0.5535714285714286,0.42857142857142855,6.20,23,16,2,69.6,6,1.20,20,2,8,4,5.0,3,0,0,0.0
2019-12-14,14,,加藤久典,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,15,,喜入祥充,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,0,50.0
2019-12-14,17,,星谷健太朗,2,,,,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,18,,小川猛,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,19,,栗山雅史,5,■,■,■,■,■,26,10,0,0.38461538461538464,0.38461538461538464,2.00,9,2,0,22.2,1,0.20,13,0,2,2,0.0,7,1,1,21.4
2019-12-14,21,,佐藤謙次,3,,□,,□,□,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2019-12-14,チーム合計,チーム合計,チーム合計,5,,,,,,117,59,9,0.5042735042735043,0.42735042735042733,11.80,35,20,2,57.1,16,3.20,100,7,21,17,6.0,85,53,12,69.4
