試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-26,11,,秦耕介,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,2,0,2,0,-25.0,0,0,0,-
2019-10-27,11,,秦耕介,3,□,□,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-02,11,,秦耕介,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-03,11,,秦耕介,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-09,11,,秦耕介,3,□,■,■,,,14,8,2,0.5714285714285714,0.42857142857142855,2.67,5,3,1,60.0,0,-,5,0,1,1,0.0,9,3,5,61.1
2019-11-10,11,,秦耕介,2,,□,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-16,11,,秦耕介,3,■,■,■,,,20,6,1,0.3,0.25,2.00,2,0,0,0.0,2,0.67,12,0,2,4,4.2,22,6,4,36.4
2019-11-23,11,,秦耕介,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-24,11,,秦耕介,3,□,■,■,,,9,3,2,0.3333333333333333,0.1111111111111111,1.00,2,1,0,50.0,1,0.33,8,0,2,3,3.1,17,7,7,61.8
2019-11-30,11,,秦耕介,2,,,□,□,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,0,2,12.5,4,1,1,37.5
2019-12-01,11,,秦耕介,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-07,11,,秦耕介,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-14,11,,秦耕介,4,,□,■,■,■,6,4,1,0.6666666666666666,0.5,1.00,2,2,0,100.0,3,0.75,13,2,2,2,15.4,29,23,3,84.5
2019-12-15,11,,秦耕介,3,■,■,■,,,15,4,0,0.26666666666666666,0.26666666666666666,1.33,0,0,0,-,1,0.33,8,0,1,3,6.2,27,11,4,48.1
2019-12-21,11,,秦耕介,3,■,■,■,,,16,7,3,0.4375,0.25,2.33,1,0,1,0.0,3,1.00,9,0,0,2,5.6,30,7,8,36.7
2019-12-22,11,,秦耕介,3,■,■,■,,,16,10,0,0.625,0.625,3.33,5,3,0,60.0,1,0.33,8,0,2,1,-3.1,20,4,5,32.5
2020-01-11,11,,秦耕介,3,■,■,■,,,10,3,3,0.3,0.0,1.00,4,1,2,25.0,0,-,12,0,1,1,0.0,9,2,4,44.4
2020-01-12,11,,秦耕介,1,,,,■,,2,2,0,1.0,1.0,2.00,1,1,0,100.0,0,-,1,0,1,0,-25.0,1,0,0,0.0
2020-01-18,11,,秦耕介,3,■,□,,□,,5,0,0,0.0,0.0,-,1,0,0,0.0,0,-,2,0,0,1,12.5,6,2,2,50.0
2020-01-25,11,,秦耕介,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,3,1,2,66.7
2020-01-26,11,,秦耕介,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-01,11,,秦耕介,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,11,,秦耕介,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-08,11,,秦耕介,2,,□,,■,,5,2,0,0.4,0.4,1.00,0,0,0,-,2,1.00,3,0,0,0,0.0,10,6,3,75.0
2020-02-09,11,,秦耕介,3,■,■,■,,,22,4,0,0.18181818181818185,0.18181818181818185,1.33,1,1,0,100.0,2,0.67,14,0,3,5,3.6,13,5,3,50.0
2020-02-15,11,,秦耕介,3,,□,■,■,,9,4,2,0.4444444444444444,0.2222222222222222,1.33,2,0,1,0.0,1,0.33,8,0,3,1,-6.2,17,10,4,70.6
2020-02-16,11,,秦耕介,3,□,□,,□,,4,0,1,0.0,-0.25,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0
