試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2017-02-26,ジェイテクトSTINGS,東レアローズ,1,,カジースキマテイ,3,■,■,■,nan,nan,38,16,1,42.1,39.5,5.33,8,3,0,37.5,1,0.33,17,0,6,6,8.8,9,4,0,44.4,17
2017-02-26,ジェイテクトSTINGS,東レアローズ,2,,金丸晃大,3,■,■,■,nan,nan,3,0,0,0.0,0.0,-,0,0,0,-,2,0.67,11,0,0,7,15.9,2,2,0,100.0,2
2017-02-26,ジェイテクトSTINGS,東レアローズ,3,,渡邉峻,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-26,ジェイテクトSTINGS,東レアローズ,5,,清野真一,3,■,■,■,nan,nan,21,14,0,66.7,66.7,4.67,7,5,0,71.4,0,-,11,0,1,0,0.0,0,0,0,-,14
2017-02-26,ジェイテクトSTINGS,東レアローズ,7,,高橋和人,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-26,ジェイテクトSTINGS,東レアローズ,10,,松原広輔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-26,ジェイテクトSTINGS,東レアローズ,11,,袴谷亮介,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-26,ジェイテクトSTINGS,東レアローズ,12,L,興梠亮,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,4,0,50.0,0
2017-02-26,ジェイテクトSTINGS,東レアローズ,16,,久保山尚,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,3,1.00,17,0,0,3,4.4,2,0,0,0.0,3
2017-02-26,ジェイテクトSTINGS,東レアローズ,17,L,本間隆太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-26,ジェイテクトSTINGS,東レアローズ,19,,浅野博亮,3,■,■,■,nan,nan,25,14,1,56.0,52.0,4.67,3,2,0,66.7,3,1.00,8,2,1,2,28.7,23,10,0,43.5,19
2017-02-26,ジェイテクトSTINGS,東レアローズ,21,,廣瀬優希,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-26,ジェイテクトSTINGS,東レアローズ,22,,柳澤広平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-26,ジェイテクトSTINGS,東レアローズ,23,,福山汰一,3,■,■,■,nan,nan,5,4,0,80.0,80.0,1.33,0,0,0,-,0,-,10,0,2,2,5.0,0,0,0,-,4
2017-02-26,ジェイテクトSTINGS,東レアローズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,92,48,2,52.2,50.0,16.00,18,10,0,55.6,9,3.00,74,2,10,20,9.2,44,20,0,45.5,59
