試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-02-28,ジェイテクトSTINGS,1,,藤中優斗,3,■,■,■,nan,nan,18,8,0,44.4,44.4,2.67,0,0,0,-,0,-,14,0,1,2,1.8,28,13,10,64.3,,,,,,,,
2021-02-28,ジェイテクトSTINGS,2,,金丸晃大,3,□,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,7,0,0,1,3.6,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,3,,伏見大和,2,■,nan,□,nan,nan,3,0,1,0.0,-33.3,-,0,0,0,-,1,0.50,4,0,1,0,-6.2,2,1,0,50.0,,,,,,,,
2021-02-28,ジェイテクトSTINGS,4,,福山汰一,3,■,■,■,nan,nan,5,1,0,20.0,20.0,0.33,0,0,0,-,2,0.67,8,0,1,2,3.1,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,6,,フォンテレスフェリペ,3,■,■,■,nan,nan,19,11,1,57.9,52.6,3.67,2,2,0,100.0,0,-,13,1,2,5,13.5,21,8,4,47.6,,,,,,,,
2021-02-28,ジェイテクトSTINGS,7,,柳澤広平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,8,,郡浩也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,10,,小林光輝,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.50,3,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,11,,袴谷亮介,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,12,L,興梠亮,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,14,,西田有志,3,■,■,■,nan,nan,39,18,7,46.2,28.2,6.00,15,5,4,33.3,2,0.67,10,0,3,4,2.5,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,16,,久保山尚,2,■,■,nan,nan,nan,1,1,0,100.0,100.0,0.50,0,0,0,-,0,-,7,0,1,0,-3.6,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,17,L,本間隆太,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,2,5,45.0,,,,,,,,
2021-02-28,ジェイテクトSTINGS,19,,浅野博亮,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,ジェイテクトSTINGS,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,86,40,9,46.5,36.0,13.33,17,7,4,41.2,6,2.00,68,1,10,15,3.3,61,24,19,54.9,82,37,5,45.1,12,4.00,5.7,59.6
