試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2000-01-16,パナソニックパンサーズ,東レアローズ,1,,宮崎謙彦,3,■,■,■,nan,nan,25,13,0,52.0,52.0,4.33,10,5,0,50.0,0,-,11,1,6,3,14.1,0,0,0,-,14
2000-01-16,パナソニックパンサーズ,東レアローズ,4,,白数仁孝,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,2,12.5,4,3,0,75.0,0
2000-01-16,パナソニックパンサーズ,東レアローズ,5,,イェルツィンヒド,3,■,■,■,nan,nan,28,16,3,57.1,46.4,5.33,8,5,0,62.5,3,1.00,15,1,3,6,16.7,30,25,0,83.3,20
2000-01-16,パナソニックパンサーズ,東レアローズ,6,L,小糸敬夫,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,12,0,57.1,0
2000-01-16,パナソニックパンサーズ,東レアローズ,7,,西澤吉邦,1,nan,nan,■,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,5,0,1,1,5.0,0,0,0,-,1
2000-01-16,パナソニックパンサーズ,東レアローズ,9,,北川祐介,2,■,■,nan,nan,nan,5,2,2,40.0,0.0,1.00,0,0,0,-,0,-,6,0,2,0,0.0,0,0,0,-,2
2000-01-16,パナソニックパンサーズ,東レアローズ,10,,牛尾正和,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-01-16,パナソニックパンサーズ,東レアローズ,12,,紫和昌修,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,9,0,0,1,2.8,0,0,0,-,1
2000-01-16,パナソニックパンサーズ,東レアローズ,13,,清水貴幸,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2000-01-16,パナソニックパンサーズ,東レアローズ,14,,南部正司,3,■,■,■,nan,nan,16,7,0,43.8,43.8,2.33,2,1,0,50.0,0,-,9,0,1,1,2.8,12,7,0,58.3,7
2000-01-16,パナソニックパンサーズ,東レアローズ,15,,木村正憲,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2000-01-16,パナソニックパンサーズ,東レアローズ,20,,米山博之,3,■,■,■,nan,nan,7,7,0,100.0,100.0,2.33,0,0,0,-,3,1.00,8,0,0,0,0.0,0,0,0,-,10
2000-01-16,パナソニックパンサーズ,東レアローズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,83,47,5,56.6,50.6,15.67,20,11,0,55.0,6,2.00,68,2,14,14,7.8,67,47,0,70.1,55
