試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-14,パナソニックパンサーズ,1,,清水邦広,4,■,■,■,■,nan,37,18,1,48.6,45.9,4.50,10,7,0,70.0,1,0.25,19,2,3,7,15.8,2,1,0,50.0,,,,,,,,
2020-11-14,パナソニックパンサーズ,2,,深津英臣,4,■,■,■,■,nan,3,2,0,66.7,66.7,0.50,0,0,0,-,1,0.25,16,0,1,5,6.2,0,0,0,-,,,,,,,,
2020-11-14,パナソニックパンサーズ,4,,大竹壱青,1,□,nan,nan,nan,nan,2,2,0,100.0,100.0,2.00,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2020-11-14,パナソニックパンサーズ,5,,渡辺奏吾,3,nan,■,■,■,nan,22,13,1,59.1,54.5,4.33,1,1,0,100.0,0,-,13,2,0,6,26.9,11,4,2,45.5,,,,,,,,
2020-11-14,パナソニックパンサーズ,6,,白澤健児,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,パナソニックパンサーズ,7,,久原翼,1,■,nan,nan,nan,nan,6,1,0,16.7,16.7,1.00,0,0,0,-,0,-,3,0,1,1,0.0,9,2,0,22.2,,,,,,,,
2020-11-14,パナソニックパンサーズ,9,,今村貴彦,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,,,,,,,,
2020-11-14,パナソニックパンサーズ,10,,山内晶大,4,■,■,■,■,nan,8,6,0,75.0,75.0,1.50,0,0,0,-,0,-,14,0,2,2,0.0,1,1,0,100.0,,,,,,,,
2020-11-14,パナソニックパンサーズ,13,,クビアクミハウ,4,■,■,■,■,nan,22,11,1,50.0,45.5,2.75,2,0,0,0.0,1,0.25,13,0,2,5,5.8,31,15,8,61.3,,,,,,,,
2020-11-14,パナソニックパンサーズ,16,L,伊賀亮平,3,nan,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,パナソニックパンサーズ,17,L,永野健,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,4,4,75.0,,,,,,,,
2020-11-14,パナソニックパンサーズ,20,,新貴裕,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,パナソニックパンサーズ,21,,兒玉康成,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,パナソニックパンサーズ,22,,小宮雄一郎,4,■,■,■,■,nan,7,5,0,71.4,71.4,1.25,0,0,0,-,3,0.75,12,0,3,3,0.0,0,0,0,-,,,,,,,,
2020-11-14,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,107,58,3,54.2,51.4,14.50,13,8,0,61.5,6,1.50,95,4,12,31,9.2,62,27,14,54.8,112,55,6,49.1,8,2.00,3.0,47.6
