試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-01-23,パナソニックパンサーズ,1,,清水邦広,3,■,■,■,nan,nan,26,17,1,0.6538461538461539,0.6153846153846154,5.67,9,5,1,55.6,0,-,9,1,2,5,19.4,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,2,,深津英臣,3,■,■,■,nan,nan,4,2,0,0.5,0.5,0.67,0,0,0,-,0,-,20,0,0,8,10.0,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,4,,大竹壱青,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,6,,白澤健児,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,7,,久原翼,3,■,■,■,nan,nan,18,12,1,0.6666666666666666,0.6111111111111112,4.00,2,1,0,50.0,0,-,10,0,1,3,5.0,10,5,4,70.0,,,,,,,,
2021-01-23,パナソニックパンサーズ,8,,仲本賢優,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,9,,今村貴彦,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,10,,山内晶大,3,■,■,■,nan,nan,6,4,0,0.6666666666666666,0.6666666666666666,1.33,0,0,0,-,2,0.67,9,1,0,1,13.9,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,13,,クビアクミハウ,3,■,■,■,nan,nan,17,10,0,0.5882352941176471,0.5882352941176471,3.33,2,2,0,100.0,1,0.33,17,1,3,3,5.9,17,7,5,55.9,,,,,,,,
2021-01-23,パナソニックパンサーズ,16,L,伊賀亮平,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,17,L,永野健,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,6,5,65.4,,,,,,,,
2021-01-23,パナソニックパンサーズ,20,,新貴裕,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,21,,兒玉康成,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,22,,小宮雄一郎,3,■,■,■,nan,nan,12,7,0,0.5833333333333334,0.5833333333333334,2.33,0,0,0,-,2,0.67,6,0,1,2,4.2,0,0,0,-,,,,,,,,
2021-01-23,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,83,52,2,0.6265060240963856,0.6024096385542169,17.33,13,8,1,61.5,5,1.67,73,3,7,23,9.6,40,18,14,62.5,82,37,4,45.1,1,0.33,1.5,50.0
