試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-16,10,,山内晶大,3,■,■,■,,,16,7,0,0.4375,0.4375,2.33,0,0,0,-,2,0.67,10,0,1,2,2.5,2,2,0,100.0
2019-11-17,10,,山内晶大,3,■,■,■,,,6,3,1,0.5,0.3333333333333333,1.00,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-
2019-11-23,10,,山内晶大,3,■,■,■,,,3,1,0,0.3333333333333333,0.3333333333333333,0.33,0,0,0,-,2,0.67,5,0,1,0,-5.0,0,0,0,-
2019-11-24,10,,山内晶大,4,■,■,■,■,,9,7,0,0.7777777777777778,0.7777777777777778,1.75,0,0,0,-,1,0.25,9,0,1,3,5.6,1,0,0,0.0
2019-11-30,10,,山内晶大,4,■,■,■,■,,11,5,0,0.4545454545454545,0.4545454545454545,1.25,0,0,0,-,2,0.50,9,0,1,3,5.6,0,0,0,-
2019-12-01,10,,山内晶大,4,■,■,■,■,,9,6,0,0.6666666666666666,0.6666666666666666,1.50,0,0,0,-,2,0.50,18,1,2,3,6.9,0,0,0,-
2019-12-07,10,,山内晶大,4,■,■,■,■,,20,14,0,0.7,0.7,3.50,0,0,0,-,1,0.25,14,0,2,1,-1.8,0,0,0,-
2019-12-08,10,,山内晶大,5,■,■,■,■,■,13,7,0,0.5384615384615384,0.5384615384615384,1.40,0,0,0,-,5,1.00,15,0,2,5,5.0,2,1,1,75.0
2019-12-14,10,,山内晶大,3,■,■,■,,,9,4,0,0.4444444444444444,0.4444444444444444,1.33,0,0,0,-,4,1.33,7,0,1,2,3.6,0,0,0,-
2019-12-21,10,,山内晶大,3,■,■,■,,,8,4,0,0.5,0.5,1.33,0,0,0,-,0,-,8,1,0,4,25.0,0,0,0,-
2019-12-22,10,,山内晶大,3,■,■,■,,,7,6,0,0.8571428571428571,0.8571428571428571,2.00,0,0,0,-,0,-,6,0,0,5,20.8,1,0,0,0.0
2020-01-11,10,,山内晶大,3,■,■,■,,,10,7,1,0.7,0.6,2.33,0,0,0,-,1,0.33,11,0,0,3,6.8,1,1,0,100.0
2020-01-12,10,,山内晶大,3,■,■,■,,,3,1,0,0.3333333333333333,0.3333333333333333,0.33,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-
2020-01-18,10,,山内晶大,4,■,■,■,■,,11,6,0,0.5454545454545454,0.5454545454545454,1.50,0,0,0,-,3,0.75,15,0,1,4,5.0,0,0,0,-
2020-01-19,10,,山内晶大,3,■,■,■,,,8,6,0,0.75,0.75,2.00,0,0,0,-,0,-,8,0,0,4,12.5,0,0,0,-
2020-01-25,10,,山内晶大,3,■,■,■,,,9,7,0,0.7777777777777778,0.7777777777777778,2.33,0,0,0,-,0,-,7,0,1,3,7.1,0,0,0,-
2020-01-26,10,,山内晶大,4,■,■,■,■,,7,1,0,0.14285714285714285,0.14285714285714285,0.25,0,0,0,-,2,0.50,12,1,1,5,16.7,1,0,1,50.0
2020-02-01,10,,山内晶大,3,■,■,■,,,7,6,0,0.8571428571428571,0.8571428571428571,2.00,0,0,0,-,2,0.67,6,0,1,2,4.2,0,0,0,-
2020-02-02,10,,山内晶大,4,■,■,■,■,,10,7,0,0.7,0.7,1.75,0,0,0,-,3,0.75,9,0,0,5,13.9,0,0,0,-
2020-02-08,10,,山内晶大,3,■,■,■,,,7,4,0,0.5714285714285714,0.5714285714285714,1.33,0,0,0,-,3,1.00,12,0,1,1,0.0,1,0,0,0.0
2020-02-09,10,,山内晶大,3,■,■,■,,,9,6,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,1,0.33,8,1,1,4,21.9,1,1,0,100.0
2020-02-15,10,,山内晶大,3,■,■,□,,,2,2,0,1.0,1.0,0.67,0,0,0,-,2,0.67,8,0,1,2,3.1,1,1,0,100.0
