試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-01-12,堺ブレイザーズ,JTサンダーズ,0,,小西健太,4,■,■,■,■,nan,5,1,2,20.0,-20.0,0.25,0,0,0,-,3,0.75,19,3,2,6,20.5,1,0,0,0.0,7
2004-01-12,堺ブレイザーズ,JTサンダーズ,1,,澤畠雄一郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-12,堺ブレイザーズ,JTサンダーズ,3,,増村雅尚,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-12,堺ブレイザーズ,JTサンダーズ,4,,中垣内祐一,1,■,nan,nan,nan,nan,4,2,1,50.0,25.0,2.00,1,1,0,100.0,0,-,2,0,1,0,0.0,0,0,0,-,2
2004-01-12,堺ブレイザーズ,JTサンダーズ,5,,市橋祐之,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,13,1,2,3,13.5,0,0,0,-,2
2004-01-12,堺ブレイザーズ,JTサンダーズ,6,,千葉進也,4,□,■,■,■,nan,14,9,1,64.3,57.1,2.25,3,1,1,33.3,1,0.25,17,1,1,6,14.7,7,4,0,57.1,11
2004-01-12,堺ブレイザーズ,JTサンダーズ,8,,成田貴志,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,1,1.00,3,0,0,0,0.0,0,0,0,-,1
2004-01-12,堺ブレイザーズ,JTサンダーズ,10,,甲斐祐之,4,■,■,■,■,nan,32,16,4,50.0,37.5,4.00,9,5,3,55.6,2,0.50,11,1,3,1,9.5,7,5,0,71.4,19
2004-01-12,堺ブレイザーズ,JTサンダーズ,11,L,増野彰,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,15,0,62.5,0
2004-01-12,堺ブレイザーズ,JTサンダーズ,15,,伊藤信博,4,■,■,■,■,nan,7,4,0,57.1,57.1,1.00,0,0,0,-,2,0.50,10,0,1,5,12.5,0,0,0,-,6
2004-01-12,堺ブレイザーズ,JTサンダーズ,17,,杉山マルコス,4,■,■,■,■,nan,34,20,3,58.8,50.0,5.00,11,6,2,54.5,0,-,19,3,4,5,20.3,28,16,0,57.1,23
2004-01-12,堺ブレイザーズ,JTサンダーズ,21,,金井修也,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0,0,-,0
2004-01-12,堺ブレイザーズ,JTサンダーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,97,53,11,54.6,43.3,13.25,24,13,6,54.2,9,2.25,97,9,15,27,15.0,67,40,0,59.7,71
