試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,1,,松本慶彦,5,■,■,■,■,■,15,6,0,40.0,40.0,1.20,0,0,0,-,3,0.60,22,1,0,11,17.0,3,3,0,100.0,10
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,2,L,井上裕介,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,11,0,78.6,0
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,4,,高野直哉,5,■,■,■,■,■,25,15,1,60.0,56.0,3.00,0,0,0,-,2,0.40,16,0,4,4,6.2,34,20,0,58.8,17
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,5,,内藤和也,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,6,0,1,2,8.3,0,0,0,-,0
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,6,,玉宅健太郎,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,1,1.00,2,0,0,0,0.0,0,0,0,-,1
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,7,,出耒田敬,5,■,■,■,■,■,12,7,0,58.3,58.3,1.40,0,0,0,-,1,0.20,11,0,2,4,9.1,1,1,0,100.0,8
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,8,,佐川翔,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,4,0.80,14,1,0,5,14.6,0,0,0,-,5
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,10,,千々木駿介,5,■,■,□,■,■,26,12,1,46.2,42.3,2.40,3,1,0,33.3,1,0.20,10,0,3,3,7.5,24,11,0,45.8,13
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,11,,伊藤康貴,5,□,□,■,□,□,5,1,0,20.0,20.0,0.20,0,0,0,-,0,-,2,0,0,1,12.5,12,6,0,50.0,1
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,12,,横田一義,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,13,,松岡祐太,1,nan,nan,□,nan,nan,1,0,0,0.0,0.0,-,1,0,0,0.0,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,15,,木村泰輔,1,nan,nan,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,16,L,今富稜介,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,18,,ウォレスマルティンス,5,■,■,■,■,■,42,19,6,45.2,31.0,3.80,14,5,4,35.7,3,0.60,18,0,3,9,12.5,0,0,0,-,22
2017-02-25,堺ブレイザーズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,126,60,8,47.6,41.3,12.00,18,6,4,33.3,15,3.00,101,2,13,39,11.4,88,52,0,59.1,77
