試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,1,,小川貴史,3,■,■,■,nan,nan,5,4,0,80.0,80.0,1.33,0,0,0,-,1,0.33,5,0,2,1,5.0,1,1,0,100.0,5
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,2,,徳丸善基,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,3,,森岡晃太郎,3,■,■,■,nan,nan,6,2,0,33.3,33.3,0.67,0,0,0,-,0,-,6,0,1,2,8.3,0,0,0,-,2
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,4,,神田聖馬,2,■,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,5,1,0,20.0,0
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,5,,大嶋厚司,1,nan,nan,□,nan,nan,4,1,0,25.0,25.0,1.00,0,0,0,-,0,-,2,0,0,1,12.5,1,1,0,100.0,1
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,6,,前田徹也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,7,L,小西健太郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,8,,中村紘二,3,■,■,■,nan,nan,9,3,0,33.3,33.3,1.00,0,0,0,-,0,-,7,0,1,2,7.1,16,9,0,56.2,3
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,10,,オンソムデニスモクア,3,■,■,■,nan,nan,37,16,6,43.2,27.0,5.33,18,6,4,33.3,0,-,10,0,0,1,2.5,0,0,0,-,16
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,11,,舩越満,3,□,■,■,nan,nan,7,2,0,28.6,28.6,0.67,0,0,0,-,1,0.33,8,0,5,1,3.1,15,12,0,80.0,3
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,12,L,興梠龍司,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,15,0,62.5,0
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,14,,前村直樹,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,17,,長江晃生,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0,0
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,22,,増成一志,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-,0
2009-02-07,大分三好ヴァイセアドラー,NECブルーロケッツ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,69,28,6,40.6,31.9,9.33,18,6,4,33.3,2,0.67,45,0,10,9,5.0,63,39,0,61.9,30
