試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-17,1,,バグナスブライアン,3,■,■,■,,,12,4,1,0.3333333333333333,0.25,1.33,2,0,1,0.0,1,0.33,4,0,2,0,-12.5,18,5,4,38.9
2019-11-17,2,,田尻信太郎,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-17,4,,勝将哉,3,■,■,■,,,14,7,2,0.5,0.35714285714285715,2.33,2,1,1,50.0,0,-,9,0,1,3,5.6,11,6,2,63.6
2019-11-17,5,,大西基之,3,■,■,■,,,3,2,0,0.6666666666666666,0.6666666666666666,0.67,0,0,0,-,0,-,10,0,0,0,0.0,0,0,0,-
2019-11-17,6,,木本吉紀,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-17,7,,松尾敬介,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,1,75.0
2019-11-17,8,,川口喬,1,,,■,,,4,1,1,0.25,0.0,1.00,0,0,0,-,0,-,4,1,2,0,12.5,0,0,0,-
2019-11-17,9,,林一壽,2,■,■,,,,7,2,2,0.2857142857142857,0.0,1.00,0,0,0,-,0,-,4,0,0,0,0.0,0,0,0,-
2019-11-17,11,,辻口智也,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,2,0,66.7
2019-11-17,13,L,久保田雅人,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,4,75.0
2019-11-17,16,,濱本豊,3,■,■,■,,,32,12,5,0.375,0.21875,4.00,15,6,2,40.0,0,-,9,0,2,1,-2.8,0,0,0,-
2019-11-17,19,,辻口泰地,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-17,22,,藤岡諒馬,3,■,■,■,,,2,0,1,0.0,-0.5,-,2,0,1,0.0,0,-,7,0,1,0,-3.6,0,0,0,-
2019-11-17,24,,米田亘希,2,,□,□,,,8,4,1,0.5,0.375,2.00,2,0,0,0.0,0,-,3,0,1,0,-8.3,10,5,3,65.0
2019-11-17,チーム合計,チーム合計,チーム合計,3,,,,,,82,32,13,0.3902439024390244,0.23170731707317074,10.67,23,7,5,30.4,1,0.33,50,1,9,4,-0.5,60,29,14,60.0
