試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-26,1,,バグナスブライアン,3,■,■,■,,,25,10,2,0.4,0.32,3.33,3,1,0,33.3,0,-,6,0,2,3,4.2,16,5,4,43.8
2019-10-27,1,,バグナスブライアン,3,■,■,■,,,21,11,1,0.5238095238095238,0.4761904761904762,3.67,6,3,0,50.0,0,-,7,0,3,1,-7.1,16,4,9,53.1
2019-11-02,1,,バグナスブライアン,3,■,■,■,,,23,15,2,0.6521739130434783,0.5652173913043478,5.00,6,5,0,83.3,3,1.00,9,0,4,2,-5.6,18,6,6,50.0
2019-11-03,1,,バグナスブライアン,3,■,■,■,,,19,12,1,0.631578947368421,0.5789473684210527,4.00,6,3,1,50.0,0,-,8,0,2,3,3.1,19,5,9,50.0
2019-11-09,1,,バグナスブライアン,3,■,■,■,,,22,10,2,0.4545454545454545,0.3636363636363637,3.33,3,1,0,33.3,1,0.33,9,0,1,1,0.0,21,6,4,38.1
2019-11-16,1,,バグナスブライアン,4,■,■,■,■,,43,19,3,0.4418604651162791,0.372093023255814,4.75,13,7,1,53.8,2,0.50,16,1,3,4,7.8,17,6,2,41.2
2019-11-17,1,,バグナスブライアン,3,■,■,■,,,12,4,1,0.3333333333333333,0.25,1.33,2,0,1,0.0,1,0.33,4,0,2,0,-12.5,18,5,4,38.9
2019-11-23,1,,バグナスブライアン,5,■,■,■,■,■,54,29,4,0.5370370370370371,0.462962962962963,5.80,11,5,1,45.5,1,0.20,14,1,4,1,1.8,27,9,8,48.1
2019-11-24,1,,バグナスブライアン,3,■,■,■,,,33,13,2,0.3939393939393939,0.3333333333333333,4.33,5,3,0,60.0,0,-,9,0,7,0,-19.4,20,6,6,45.0
2019-11-30,1,,バグナスブライアン,4,■,■,■,■,,31,13,1,0.41935483870967744,0.3870967741935484,3.25,8,3,0,37.5,5,1.25,11,0,5,3,-4.5,22,9,8,59.1
2019-12-14,1,,バグナスブライアン,3,■,■,■,,,35,17,3,0.4857142857142857,0.4,5.67,8,5,1,62.5,1,0.33,10,1,3,3,10.0,27,9,12,55.6
2019-12-15,1,,バグナスブライアン,3,■,■,■,,,27,19,2,0.7037037037037037,0.6296296296296297,6.33,6,4,2,66.7,1,0.33,13,2,4,3,13.5,27,10,8,51.9
2019-12-21,1,,バグナスブライアン,3,■,■,■,,,21,5,3,0.2380952380952381,0.09523809523809523,1.67,7,1,1,14.3,1,0.33,7,0,1,1,0.0,30,5,11,35.0
2019-12-22,1,,バグナスブライアン,5,■,■,■,■,■,43,21,5,0.4883720930232558,0.372093023255814,4.20,12,5,1,41.7,3,0.60,25,3,7,3,8.0,46,9,12,32.6
2020-01-11,1,,バグナスブライアン,3,■,■,■,,,15,7,1,0.4666666666666667,0.4,2.33,4,1,0,25.0,1,0.33,7,1,1,1,14.3,14,4,5,46.4
2020-01-12,1,,バグナスブライアン,3,■,■,■,,,23,13,2,0.5652173913043478,0.4782608695652174,4.33,5,4,1,80.0,1,0.33,13,0,5,5,0.0,27,10,4,44.4
2020-01-18,1,,バグナスブライアン,4,■,■,■,■,,27,17,4,0.6296296296296297,0.4814814814814815,4.25,11,7,2,63.6,0,-,16,2,4,2,9.4,42,19,9,56.0
2020-01-19,1,,バグナスブライアン,3,■,■,■,,,28,17,1,0.6071428571428571,0.5714285714285714,5.67,9,7,1,77.8,2,0.67,13,1,5,1,0.0,31,11,10,51.6
2020-01-24,1,,バグナスブライアン,3,■,■,■,,,24,14,2,0.5833333333333334,0.5,4.67,6,3,1,50.0,0,-,10,0,3,2,-2.5,27,9,6,44.4
2020-02-01,1,,バグナスブライアン,5,■,■,■,■,■,39,19,3,0.4871794871794872,0.41025641025641024,3.80,13,7,2,53.8,2,0.40,14,0,5,1,-7.1,38,13,12,50.0
2020-02-02,1,,バグナスブライアン,3,■,■,■,,,19,7,1,0.3684210526315789,0.3157894736842105,2.33,2,1,0,50.0,0,-,8,1,1,2,15.6,30,11,3,41.7
2020-02-08,1,,バグナスブライアン,4,■,■,■,■,,34,15,2,0.4411764705882353,0.38235294117647056,3.75,8,4,0,50.0,5,1.25,15,1,2,6,13.3,20,7,3,42.5
2020-02-09,1,,バグナスブライアン,5,■,■,■,■,■,39,17,3,0.4358974358974359,0.35897435897435903,3.40,8,3,0,37.5,1,0.20,14,1,3,3,7.1,42,8,20,42.9
2020-02-15,1,,バグナスブライアン,5,■,■,■,■,■,52,25,2,0.4807692307692308,0.4423076923076923,5.00,9,4,1,44.4,2,0.40,17,2,6,3,7.4,25,8,1,34.0
2020-02-16,1,,バグナスブライアン,3,■,■,■,,,27,11,3,0.4074074074074074,0.2962962962962963,3.67,3,3,0,100.0,0,-,13,3,5,8,28.8,29,4,8,27.6
