試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-02-28,大分三好ヴァイセアドラー,1,,バグナスブライアン,3,■,■,■,nan,nan,11,2,3,18.2,-9.1,0.67,2,0,1,0.0,0,-,6,0,3,2,-4.2,19,6,7,50.0,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,2,,田尻信太郎,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,4,,勝将哉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,5,,大西基之,3,■,■,■,nan,nan,6,3,0,50.0,50.0,1.00,0,0,0,-,2,0.67,8,0,0,1,3.1,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,7,L,松尾敬介,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,7,2,53.3,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,8,,川口喬,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,9,,林一壽,3,■,■,■,nan,nan,7,2,0,28.6,28.6,0.67,0,0,0,-,1,0.33,5,0,0,1,5.0,1,0,0,0.0,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,10,,山田滉太,3,■,■,■,nan,nan,21,7,3,33.3,19.0,2.33,5,2,0,40.0,0,-,8,1,3,1,6.2,12,7,4,75.0,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,11,,ストックトンカーティス,3,■,■,■,nan,nan,23,9,2,39.1,30.4,3.00,12,3,1,25.0,0,-,8,1,4,3,9.4,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,13,L,久保田雅人,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,16,,濱本豊,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,18,,古賀健太,2,□,nan,□,nan,nan,10,8,1,80.0,70.0,4.00,5,4,1,80.0,0,-,2,0,2,0,-25.0,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,22,,藤岡諒馬,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,1,3,5.6,0,0,0,-,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,24,,米田亘希,3,□,□,□,nan,nan,3,1,0,33.3,33.3,0.33,2,1,0,50.0,0,-,4,0,3,1,-12.5,13,7,0,53.8,,,,,,,,
2021-02-28,大分三好ヴァイセアドラー,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,81,32,9,39.5,28.4,10.67,26,10,3,38.5,3,1.00,54,2,17,13,1.9,60,27,13,55.8,66,38,3,57.6,6,2.00,9.2,55.4
