試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-02,5,,大西基之,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-03,5,,大西基之,3,□,□,■,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,1,0,0,0.0
2019-11-09,5,,大西基之,2,,□,■,,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-
2019-11-16,5,,大西基之,4,■,■,■,■,,11,2,2,0.18181818181818185,0.0,0.50,0,0,0,-,1,0.25,15,0,1,2,1.7,1,0,1,50.0
2019-11-17,5,,大西基之,3,■,■,■,,,3,2,0,0.6666666666666666,0.6666666666666666,0.67,0,0,0,-,0,-,10,0,0,0,0.0,0,0,0,-
2019-11-23,5,,大西基之,2,■,■,,,,4,1,1,0.25,0.0,0.50,0,0,0,-,2,1.00,8,1,0,3,21.9,0,0,0,-
2019-11-24,5,,大西基之,2,■,■,,,,4,1,1,0.25,0.0,0.50,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2019-11-30,5,,大西基之,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-07,5,,大西基之,3,■,■,■,,,4,2,0,0.5,0.5,0.67,0,0,0,-,0,-,6,1,1,0,12.5,1,1,0,100.0
2019-12-08,5,,大西基之,2,■,■,,,,5,1,0,0.2,0.2,0.50,0,0,0,-,0,-,3,0,0,0,0.0,3,2,1,83.3
2019-12-14,5,,大西基之,3,■,■,■,,,7,4,0,0.5714285714285714,0.5714285714285714,1.33,0,0,0,-,1,0.33,10,0,0,1,2.5,3,2,0,66.7
2019-12-15,5,,大西基之,3,■,■,■,,,4,1,1,0.25,0.0,0.33,0,0,0,-,0,-,13,0,0,2,3.8,3,0,1,16.7
2019-12-21,5,,大西基之,3,■,■,■,,,5,3,0,0.6,0.6,1.00,0,0,0,-,0,-,6,0,1,0,-4.2,0,0,0,-
2019-12-22,5,,大西基之,5,■,■,■,■,■,7,3,0,0.42857142857142855,0.42857142857142855,0.60,0,0,0,-,2,0.40,13,0,4,0,-7.7,0,0,0,-
2020-01-11,5,,大西基之,3,■,■,■,,,7,1,0,0.14285714285714285,0.14285714285714285,0.33,0,0,0,-,0,-,8,0,0,2,6.2,0,0,0,-
2020-01-12,5,,大西基之,3,■,■,■,,,6,3,0,0.5,0.5,1.00,0,0,0,-,3,1.00,5,0,1,2,5.0,1,0,0,0.0
2020-01-18,5,,大西基之,2,,□,,□,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-01-19,5,,大西基之,1,■,,,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,0,0.0,1,1,0,100.0
2020-01-24,5,,大西基之,3,■,■,■,,,7,2,1,0.2857142857142857,0.14285714285714285,0.67,0,0,0,-,0,-,6,0,0,1,4.2,1,1,0,100.0
2020-02-01,5,,大西基之,2,□,,,,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,5,,大西基之,2,,□,■,,,3,2,0,0.6666666666666666,0.6666666666666666,1.00,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2020-02-08,5,,大西基之,3,■,□,,□,,5,2,0,0.4,0.4,0.67,0,0,0,-,0,-,3,0,0,0,0.0,1,0,0,0.0
2020-02-09,5,,大西基之,3,■,□,,,□,2,1,0,0.5,0.5,0.33,0,0,0,-,1,0.33,2,0,1,0,-12.5,0,0,0,-
2020-02-15,5,,大西基之,4,□,,■,■,■,3,3,0,1.0,1.0,0.75,0,0,0,-,2,0.50,8,0,1,2,3.1,1,0,0,0.0
2020-02-16,5,,大西基之,2,■,■,,,,1,0,1,0.0,-1.0,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
