試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,1,,諸隈直樹,2,■,■,nan,nan,nan,15,4,2,26.7,13.3,2.00,2,1,1,50.0,1,0.50,3,0,1,0,0.0,0,0,0,-,5
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,3,,増村雅尚,3,nan,□,■,■,nan,26,10,3,38.5,26.9,3.33,12,5,0,41.7,0,-,10,1,0,0,10.0,0,0,0,-,11
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,4,,成田貴志,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,5,0,0,1,5.0,0,0,0,-,1
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,5,,浜口純一,4,■,■,■,■,nan,23,12,3,52.2,39.1,3.00,0,0,0,-,0,-,17,1,2,2,8.8,5,3,0,60.0,13
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,6,,青山繁,4,■,■,■,■,nan,27,9,2,33.3,25.9,2.25,5,1,0,20.0,5,1.25,16,0,1,6,9.4,30,28,0,93.3,14
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,8,,金牧貴久,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,9,,吉永文幸,2,nan,nan,□,■,nan,0,0,0,,,-,0,0,0,-,0,-,10,1,0,3,17.5,0,0,0,-,1
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,12,,近藤康史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,14,,川浦博昭,4,■,■,■,■,nan,18,11,0,61.1,61.1,2.75,0,0,0,-,6,1.50,14,1,2,4,14.3,0,0,0,-,18
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,15,,倉内哲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,17,L,花野裕祥,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,31,27,0,87.1,0
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,20,,尾上健司,4,■,■,■,■,nan,17,10,1,58.8,52.9,2.50,0,0,0,-,2,0.50,21,0,0,4,4.8,0,0,0,-,12
2002-01-20,富士フイルム・プラネッツ,日立国分トルメンタ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,126,56,11,44.4,35.7,14.00,19,7,1,36.8,15,3.75,96,4,6,20,9.4,66,58,0,87.9,75
