試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,1,,大平啓輔,1,nan,nan,□,nan,nan,3,1,0,33.3,33.3,1.00,0,0,0,-,1,1.00,0,0,0,0,-,1,1,0,100.0,2
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,3,,坂本雄一郎,4,■,■,■,■,nan,13,7,1,53.8,46.2,1.75,0,0,0,-,4,1.00,17,0,2,2,2.9,0,0,0,-,11
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,5,,平山譲,2,nan,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,6,,桐生志康,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.25,10,0,0,1,2.5,0,0,0,-,1
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,7,,槻舘大輔,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,8,,桑田鎮典,4,■,■,■,■,nan,32,14,3,43.8,34.4,3.50,13,5,2,38.5,0,-,14,0,3,7,12.5,1,0,0,0.0,14
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,9,,鈴木優介,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,10,,清水利公,4,■,■,■,■,nan,18,9,1,50.0,44.4,2.25,0,0,0,-,0,-,13,0,1,1,1.9,23,14,0,60.9,9
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,12,L,八代昌之,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,35,21,0,60.0,0
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,13,,立石武史,4,■,■,■,■,nan,12,4,1,33.3,25.0,1.00,0,0,0,-,0,-,15,0,1,3,5.0,1,1,0,100.0,4
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,14,,濱本久樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,15,,ベアードデビッド,4,■,■,■,■,nan,21,9,0,42.9,42.9,2.25,2,1,0,50.0,0,-,12,1,3,0,6.7,16,13,0,81.2,10
2002-02-23,日立国分トルメンタ,NECブルーロケッツ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,101,44,6,43.6,37.6,11.00,15,6,2,40.0,6,1.50,83,1,10,14,5.2,77,50,0,64.9,51
