試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,1,,甲斐祐之,3,■,■,■,nan,nan,21,8,2,38.1,28.6,2.67,4,1,2,25.0,1,0.33,11,1,3,2,13.6,14,8,0,57.1,10
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,6,,熊谷豪,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,8,,鈴木孝政,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,9,,丸山利明,3,□,■,■,nan,nan,21,9,2,42.9,33.3,3.00,5,1,1,20.0,1,0.33,11,0,1,2,4.5,33,26,0,78.8,10
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,10,,末次志朗,3,■,■,■,nan,nan,14,5,0,35.7,35.7,1.67,0,0,0,-,1,0.33,7,0,0,1,3.6,0,0,0,-,6
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,11,L,舩越健太郎,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,6,0,60.0,0
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,12,,高橋慎治,3,■,■,■,nan,nan,3,0,0,0.0,0.0,-,0,0,0,-,0,-,12,0,1,2,4.2,0,0,0,-,0
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,13,,真鍋智彦,3,■,■,■,nan,nan,32,12,2,37.5,31.2,4.00,10,5,1,50.0,1,0.33,8,0,2,4,12.5,0,0,0,-,13
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,14,,大坪史明,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,1,0,4,25.7,0,0,0,-,1
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,15,,古田博幸,2,nan,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,19,,西沢文徳,1,■,nan,nan,nan,nan,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,6,3,0,50.0,1
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,23,,南克幸,3,■,■,■,nan,nan,5,2,0,40.0,40.0,0.67,0,0,0,-,1,0.33,6,0,0,1,4.2,1,0,0,0.0,3
2006-01-21,旭化成スパーキッズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,99,37,6,37.4,31.3,12.33,19,7,4,36.8,5,1.67,65,2,7,16,8.9,64,43,0,67.2,44
