試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2005-03-06,東レアローズ,JTサンダーズ,2,L,田辺修,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,12,0,52.2,0
2005-03-06,東レアローズ,JTサンダーズ,3,,柴田恭平,4,□,■,■,□,nan,16,7,1,43.8,37.5,1.75,6,2,0,33.3,0,-,7,0,3,1,3.6,0,0,0,-,7
2005-03-06,東レアローズ,JTサンダーズ,4,,アブラーモフパーベル,4,■,■,■,■,nan,38,18,6,47.4,31.6,4.50,5,3,0,60.0,1,0.25,14,0,3,6,10.7,38,22,0,57.9,19
2005-03-06,東レアローズ,JTサンダーズ,5,,笠原紀久,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2005-03-06,東レアローズ,JTサンダーズ,7,,齋藤信治,4,■,■,■,■,nan,7,5,0,71.4,71.4,1.25,0,0,0,-,1,0.25,14,0,1,3,5.4,4,4,0,100.0,6
2005-03-06,東レアローズ,JTサンダーズ,9,,阿部裕太,4,□,■,■,■,nan,2,0,0,0.0,0.0,-,0,0,0,-,2,0.50,11,0,0,4,9.1,0,0,0,-,2
2005-03-06,東レアローズ,JTサンダーズ,10,,越谷章,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2005-03-06,東レアローズ,JTサンダーズ,11,,小林敦,4,■,■,■,■,nan,11,5,1,45.5,36.4,1.25,0,0,0,-,1,0.25,13,0,0,2,3.8,1,1,0,100.0,6
2005-03-06,東レアローズ,JTサンダーズ,14,,今田祐介,4,■,■,■,■,nan,21,10,1,47.6,42.9,2.50,2,0,0,0.0,3,0.75,17,0,2,4,5.9,20,11,0,55.0,13
2005-03-06,東レアローズ,JTサンダーズ,16,,高杉洋平,3,■,nan,□,■,nan,22,10,2,45.5,36.4,3.33,10,4,2,40.0,1,0.33,8,0,1,2,6.2,0,0,0,-,11
2005-03-06,東レアローズ,JTサンダーズ,17,,篠田歩,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2005-03-06,東レアローズ,JTサンダーズ,20,,山本太二,1,■,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0
2005-03-06,東レアローズ,JTサンダーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,117,55,11,47.0,37.6,13.75,23,9,2,39.1,9,2.25,88,0,10,23,6.5,86,50,0,58.1,64
