試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2014-04-06,東レアローズ,堺ブレイザーズ,2,L,田辺修,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-04-06,東レアローズ,堺ブレイザーズ,4,,近藤茂,4,■,■,□,■,nan,1,0,1,0.0,-100.0,-,0,0,0,-,0,-,10,0,0,4,10.0,0,0,0,-,0
2014-04-06,東レアローズ,堺ブレイザーズ,5,,米山裕太,3,■,■,■,nan,nan,13,3,0,23.1,23.1,1.00,0,0,0,-,0,-,14,0,1,4,7.1,17,12,0,70.6,3
2014-04-06,東レアローズ,堺ブレイザーズ,6,,渡辺俊介,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,2,0,50.0,0
2014-04-06,東レアローズ,堺ブレイザーズ,7,,相澤寿,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-04-06,東レアローズ,堺ブレイザーズ,8,,瀬戸口竜矢,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2014-04-06,東レアローズ,堺ブレイザーズ,9,,梅野聡,3,□,□,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,1
2014-04-06,東レアローズ,堺ブレイザーズ,10,,星野秀知,3,■,nan,□,■,nan,15,7,0,46.7,46.7,2.33,1,1,0,100.0,1,0.33,8,1,1,1,13.1,17,12,0,70.6,9
2014-04-06,東レアローズ,堺ブレイザーズ,12,,ボヨビッチデヤン,4,■,■,■,■,nan,29,16,0,55.2,55.2,4.00,8,5,0,62.5,0,-,12,1,5,2,12.5,0,0,0,-,17
2014-04-06,東レアローズ,堺ブレイザーズ,15,,李博,1,nan,nan,nan,□,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,1,1.00,1,0,0,0,0.0,0,0,0,-,2
2014-04-06,東レアローズ,堺ブレイザーズ,17,,篠田歩,4,■,■,■,■,nan,8,5,1,62.5,50.0,1.25,0,0,0,-,4,1.00,12,0,2,4,8.3,0,0,0,-,9
2014-04-06,東レアローズ,堺ブレイザーズ,18,,鈴木悠二,4,□,■,■,■,nan,24,9,2,37.5,29.2,2.25,5,1,0,20.0,1,0.25,13,0,1,5,9.6,19,8,0,42.1,10
2014-04-06,東レアローズ,堺ブレイザーズ,19,,黒木康太郎,4,■,■,■,■,nan,12,9,0,75.0,75.0,2.25,0,0,0,-,1,0.25,15,1,3,3,11.7,0,0,0,-,11
2014-04-06,東レアローズ,堺ブレイザーズ,22,L,井手智,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,18,0,78.3,0
2014-04-06,東レアローズ,堺ブレイザーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,104,51,4,49.0,45.2,12.75,14,7,0,50.0,8,2.00,90,3,13,24,9.8,80,52,0,65.0,62
