試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-01-09,東レアローズ,JTサンダーズ,1,,富松崇彰,4,■,■,■,■,nan,14,9,0,64.3,64.3,2.25,0,0,0,-,6,1.50,11,0,0,3,6.8,0,0,0,-,15
2016-01-09,東レアローズ,JTサンダーズ,3,,伏見大和,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-01-09,東レアローズ,JTサンダーズ,5,,米山裕太,4,■,■,□,□,nan,10,3,1,30.0,20.0,0.75,2,1,0,50.0,0,-,7,0,1,4,14.3,16,4,0,25.0,3
2016-01-09,東レアローズ,JTサンダーズ,6,L,渡辺俊介,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,15,0,78.9,0
2016-01-09,東レアローズ,JTサンダーズ,9,,梅野聡,2,■,■,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,1,0,0.0,0,0,0,-,0
2016-01-09,東レアローズ,JTサンダーズ,10,,星野秀知,4,■,■,■,■,nan,16,6,1,37.5,31.2,1.50,0,0,0,-,1,0.25,20,2,4,13,24.2,38,20,0,52.6,9
2016-01-09,東レアローズ,JTサンダーズ,14,,ジョルジェフニコラ,4,■,■,■,■,nan,65,31,6,47.7,38.5,7.75,23,11,4,47.8,0,-,18,0,3,13,18.1,0,0,0,-,31
2016-01-09,東レアローズ,JTサンダーズ,15,,李博,4,■,■,■,■,nan,17,12,1,70.6,64.7,3.00,0,0,0,-,1,0.25,13,0,1,3,5.8,1,0,0,0.0,13
2016-01-09,東レアローズ,JTサンダーズ,17,,黒木康太郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-01-09,東レアローズ,JTサンダーズ,18,,鈴木悠二,4,□,□,■,■,nan,8,2,0,25.0,25.0,0.50,3,0,0,0.0,0,-,9,1,1,3,19.4,7,2,0,28.6,3
2016-01-09,東レアローズ,JTサンダーズ,19,L,小宮雄一郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-01-09,東レアローズ,JTサンダーズ,20,,大木貴之,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,2,0,0.0,0,0,0,-,0
2016-01-09,東レアローズ,JTサンダーズ,21,,藤井直伸,3,nan,□,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,2,0.67,9,0,1,5,13.9,0,0,0,-,2
2016-01-09,東レアローズ,JTサンダーズ,22,,井手智,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,1,0,33.3,0
2016-01-09,東レアローズ,JTサンダーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,131,63,9,48.1,41.2,15.75,28,12,4,42.9,10,2.50,95,3,14,44,14.3,84,42,0,50.0,76
