試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2018-02-10,東レアローズ,パナソニックパンサーズ,1,,富松崇彰,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-10,東レアローズ,パナソニックパンサーズ,2,,高橋健太郎,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0,0
2018-02-10,東レアローズ,パナソニックパンサーズ,3,,伏見大和,3,■,■,■,nan,nan,6,2,1,33.3,16.7,0.67,0,0,0,-,1,0.33,12,0,1,6,10.4,0,0,0,-,3
2018-02-10,東レアローズ,パナソニックパンサーズ,5,,米山裕太,2,nan,■,■,nan,nan,7,5,0,71.4,71.4,2.50,0,0,0,-,1,0.50,4,0,1,2,6.2,13,3,1,26.9,6
2018-02-10,東レアローズ,パナソニックパンサーズ,6,L,渡辺俊介,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,3,4,50.0,0
2018-02-10,東レアローズ,パナソニックパンサーズ,8,,瀬戸口竜矢,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,1,75.0,0
2018-02-10,東レアローズ,パナソニックパンサーズ,9,,阿部裕太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-10,東レアローズ,パナソニックパンサーズ,10,,星野秀知,1,■,nan,nan,nan,nan,5,0,2,0.0,-40.0,-,0,0,0,-,0,-,3,0,0,0,0.0,5,0,1,10.0,0
2018-02-10,東レアローズ,パナソニックパンサーズ,11,,戸嵜嵩大,2,nan,□,■,nan,nan,15,6,2,40.0,26.7,3.00,0,0,0,-,0,-,7,0,2,3,3.6,18,1,7,25.0,6
2018-02-10,東レアローズ,パナソニックパンサーズ,12,,ギャビンシュミット,3,■,■,■,nan,nan,31,9,1,29.0,25.8,3.00,15,5,0,33.3,1,0.33,9,1,4,2,5.6,1,0,0,0.0,11
2018-02-10,東レアローズ,パナソニックパンサーズ,15,,李博,3,■,■,■,nan,nan,7,3,0,42.9,42.9,1.00,0,0,0,-,1,0.33,5,0,2,1,-5.0,1,0,1,50.0,4
2018-02-10,東レアローズ,パナソニックパンサーズ,18,,鈴木悠二,3,■,■,□,nan,nan,8,2,0,25.0,25.0,0.67,0,0,0,-,0,-,5,0,0,1,5.0,10,4,3,55.0,2
2018-02-10,東レアローズ,パナソニックパンサーズ,21,,藤井直伸,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,0,2,0,-7.1,0,0,0,-,0
2018-02-10,東レアローズ,パナソニックパンサーズ,22,L,井手智,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2018-02-10,東レアローズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,79,27,6,34.2,26.6,9.00,15,5,0,33.3,4,1.33,52,1,12,15,3.4,61,12,18,34.4,32
