試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-23,東レアローズ,1,,富松崇彰,4,■,■,■,■,nan,11,7,0,0.6363636363636364,0.6363636363636364,1.75,0,0,0,-,2,0.50,11,0,0,3,6.8,3,2,0,66.7
2019-11-23,東レアローズ,2,,高橋健太郎,4,■,■,■,■,nan,17,6,0,0.35294117647058826,0.35294117647058826,1.50,0,0,0,-,3,0.75,8,0,4,1,-9.4,0,0,0,-
2019-11-23,東レアローズ,4,,ルジェアントニン,4,■,■,■,■,nan,43,20,2,0.46511627906976744,0.4186046511627907,5.00,16,8,2,50.0,1,0.25,17,1,4,6,8.8,0,0,0,-
2019-11-23,東レアローズ,5,,米山裕太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,東レアローズ,6,,落合一貴,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-11-23,東レアローズ,7,,峯村雄大,2,nan,nan,□,■,nan,3,1,0,0.3333333333333333,0.3333333333333333,0.50,0,0,0,-,1,0.50,5,0,1,1,0.0,15,7,5,63.3
2019-11-23,東レアローズ,8,,瀬戸口竜矢,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,東レアローズ,10,,星野秀知,4,■,■,■,■,nan,23,11,2,0.4782608695652174,0.391304347826087,2.75,0,0,0,-,0,-,15,0,3,2,-1.7,16,6,7,59.4
2019-11-23,東レアローズ,11,,戸嵜嵩大,3,■,■,■,nan,nan,10,4,0,0.4,0.4,1.33,1,0,0,0.0,0,-,9,0,3,1,-5.6,31,8,6,35.5
2019-11-23,東レアローズ,15,,李博,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,東レアローズ,18,,鈴木悠二,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,3,1,-12.5,0,0,0,-
2019-11-23,東レアローズ,19,,梅野聡,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,東レアローズ,21,,藤井直伸,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,17,1,4,5,7.4,0,0,0,-
2019-11-23,東レアローズ,22,L,井手智,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,8,1,70.8
2019-11-23,東レアローズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,107,49,4,0.45794392523364486,0.4205607476635514,12.25,17,8,2,47.1,8,2.00,87,2,23,20,1.4,77,31,19,52.6
