試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-02-02,1,,富松崇彰,3,■,■,■,,,6,4,0,0.6666666666666666,0.6666666666666666,1.33,0,0,0,-,3,1.00,9,0,0,3,8.3,3,0,2,33.3
2020-02-02,2,,高橋健太郎,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,4,,ルジェアントニン,3,■,■,■,,,34,22,1,0.6470588235294118,0.6176470588235294,7.33,13,8,1,61.5,1,0.33,16,1,3,7,12.5,1,0,1,50.0
2020-02-02,5,,米山裕太,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,6,,落合一貴,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-
2020-02-02,7,,峯村雄大,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,9,,富田将馬,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,10,,星野秀知,3,■,■,■,,,12,6,1,0.5,0.4166666666666667,2.00,0,0,0,-,1,0.33,12,0,1,7,12.5,9,7,0,77.8
2020-02-02,15,,李博,3,■,■,■,,,8,8,0,1.0,1.0,2.67,0,0,0,-,3,1.00,14,1,2,5,12.5,0,0,0,-
2020-02-02,18,,鈴木悠二,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2020-02-02,19,,梅野聡,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-02,20,,アウントゥ,3,■,■,■,,,14,6,0,0.42857142857142855,0.42857142857142855,2.00,1,0,0,0.0,0,-,7,1,1,4,25.0,23,11,4,56.5
2020-02-02,21,,藤井直伸,3,■,■,■,,,1,0,0,0.0,0.0,-,1,0,0,0.0,1,0.33,10,1,3,3,10.0,1,0,0,0.0
2020-02-02,22,L,井手智,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,9,1,73.1
2020-02-02,チーム合計,チーム合計,チーム合計,3,,,,,,75,46,2,0.6133333333333333,0.5866666666666667,15.33,15,8,1,53.3,9,3.00,73,4,11,30,12.0,50,27,8,62.0
