試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-01-24,東レアローズ,1,,富松崇彰,3,□,■,■,nan,nan,5,3,0,0.6,0.6,1.00,0,0,0,-,1,0.33,5,0,1,0,-5.0,0,0,0,-,,,,,,,,
2021-01-24,東レアローズ,2,,高橋健太郎,1,■,nan,nan,nan,nan,1,1,0,1.0,1.0,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,,,,,,,,
2021-01-24,東レアローズ,3,L,山口拓海,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,7,14,53.8,,,,,,,,
2021-01-24,東レアローズ,4,,パダルクリスティアン,3,■,■,■,nan,nan,32,15,4,0.46875,0.34375,5.00,10,5,0,50.0,0,-,11,1,6,3,2.3,0,0,0,-,,,,,,,,
2021-01-24,東レアローズ,5,,米山裕太,2,nan,□,■,nan,nan,11,4,0,0.36363636363636365,0.36363636363636365,2.00,0,0,0,-,0,-,5,0,2,0,-10.0,6,1,4,50.0,,,,,,,,
2021-01-24,東レアローズ,6,,落合一貴,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-24,東レアローズ,7,,峯村雄大,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-01-24,東レアローズ,9,,富田将馬,3,■,■,■,nan,nan,14,7,1,0.5,0.42857142857142855,2.33,3,1,0,33.3,0,-,14,2,3,5,17.9,21,11,7,69.0,,,,,,,,
2021-01-24,東レアローズ,10,,星野秀知,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-24,東レアローズ,14,,酒井啓輔,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-24,東レアローズ,15,,李博,3,■,■,■,nan,nan,9,6,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,2,0.67,7,0,0,3,10.7,1,0,1,50.0,,,,,,,,
2021-01-24,東レアローズ,17,,小澤宙輝,2,■,■,nan,nan,nan,13,4,0,0.3076923076923077,0.3076923076923077,2.00,3,1,0,33.3,2,1.00,5,0,0,4,20.0,2,1,1,75.0,,,,,,,,
2021-01-24,東レアローズ,18,,鈴木悠二,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-24,東レアローズ,21,,藤井直伸,3,■,■,■,nan,nan,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,12,0,2,2,0.0,1,0,0,0.0,,,,,,,,
2021-01-24,東レアローズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,86,41,5,0.47674418604651164,0.4186046511627907,13.67,16,7,0,43.8,5,1.67,67,3,16,18,5.2,57,20,27,58.8,74,41,1,55.4,9,3.00,0.7,46.0
